candidate,label,file,bin_index,qT,data,prediction,ratio,error_data,error_total,error_data_ratio,error_total_ratio,chi2dN_file,N_file
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,ATLAS_7\ATLAS7-00y10.csv,0,1.0,0.02861,0.028182821778629807,0.9850689192111083,0.00017678800864312036,0.00045452888973468095,0.006179238330762683,0.01588706360484729,0.5067850685074026,6
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,ATLAS_7\ATLAS7-00y10.csv,1,3.0,0.05874,0.05819498215210331,0.9907215211457833,0.00030223997088406427,0.000517795072462729,0.005145385953082469,0.008815033579549353,0.5067850685074026,6
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,ATLAS_7\ATLAS7-00y10.csv,2,5.0,0.05834,0.05822431299150739,0.9980170207663248,0.0002784385030846129,0.00028537334947195344,0.004772686031618322,0.004891555527458921,0.5067850685074026,6
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,ATLAS_7\ATLAS7-00y10.csv,3,7.0,0.04972,0.0498780366882381,1.0031785335526568,0.00023892048886606606,0.00032326877899578675,0.004805319566895939,0.006501785579159026,0.5067850685074026,6
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,ATLAS_7\ATLAS7-00y10.csv,4,9.0,0.04106,0.04151695332302597,1.011128916780954,0.00020646065000382035,0.0003505600449454767,0.005028267170088172,0.008537750729310198,0.5067850685074026,6
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,ATLAS_7\ATLAS7-00y10.csv,5,11.0,0.03385,0.034322893066495365,1.0139702530722412,0.00018081205712009362,0.0003818662216911205,0.0053415674186142875,0.011281129148925274,0.5067850685074026,6
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,ATLAS_7\ATLAS7-10y20.csv,0,1.0,0.02781,0.027749274849412885,0.9978164275229372,0.00020490729611216872,0.000444001935283071,0.007368115645888842,0.01596554963261672,3.187844841944072,6
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,ATLAS_7\ATLAS7-10y20.csv,1,3.0,0.05802,0.057168640625456055,0.9853264499389185,0.00033924327554131413,0.0005088797330332987,0.005847005783200864,0.008770764099160612,3.187844841944072,6
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,ATLAS_7\ATLAS7-10y20.csv,2,5.0,0.05782,0.057229933283033795,0.9897947644938393,0.00030981607446999905,0.000328927124502594,0.005358285618644051,0.005688812253590349,3.187844841944072,6
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,ATLAS_7\ATLAS7-10y20.csv,3,7.0,0.04868,0.04929792921545065,1.0126936979344834,0.0002643520380099234,0.0003317505814833793,0.005430403410228501,0.00681492566728388,3.187844841944072,6
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,ATLAS_7\ATLAS7-10y20.csv,4,9.0,0.04047,0.041105077411070834,1.015692547839655,0.00022205855083738614,0.00034103776589640054,0.005486991619406626,0.008426927746389931,3.187844841944072,6
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,ATLAS_7\ATLAS7-10y20.csv,5,11.0,0.03381,0.034059144615575784,1.0073689623062936,0.0001952280717519896,0.0003570026202690625,0.005774270090268844,0.01055908371100451,3.187844841944072,6
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,ATLAS_7\ATLAS7-20y24.csv,0,1.0,0.0271,0.028150450857941087,1.038762024278269,0.0004645869132896449,0.0006732678011859253,0.017143428534673242,0.024843830302063663,1.368456495485149,6
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,ATLAS_7\ATLAS7-20y24.csv,1,3.0,0.0568,0.056422319842441185,0.9933507014514292,0.0006450186043828503,0.0007532546713607318,0.011355961344768491,0.013261525904238236,1.368456495485149,6
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,ATLAS_7\ATLAS7-20y24.csv,2,5.0,0.0564,0.055299548597648795,0.980488450312922,0.0006020373742551205,0.000632828740692015,0.010674421529346109,0.011220367742766224,1.368456495485149,6
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,ATLAS_7\ATLAS7-20y24.csv,3,7.0,0.0471,0.047430503000787286,1.007017048848987,0.000527175492601847,0.000573751524459231,0.011192685617873607,0.012181561028858406,1.368456495485149,6
