0,1.79,0.258,7.16,2.29,0.439,0.0105,0.146,3.26,1.81,-3.13,1.04,3.13,2.3
1,1.87,0.353,4.46,0.000509,0.521,-0.0917,0.625,5.63,-2.56,-1.54,4.78,1.36,5.93
0,1.76,0.286,-2.69,-0.724,0.0179,-0.141,0.352,-2.85,4.5,7.35,4.51,1.73,4.2
1,5.8,0.323,1.54,-5.58,0.612,3.4,1.02,1.54,-4.43,1.15,1.21,2.35,0.713
2,2.46,0.303,-0.877,6.31,0.578,-0.232,0.125,2.4,0.704,6.73,1.76,0.124,3.33
3,3.88,0.231,-2.54,-0.000227,2.1,0.646,0.188,2.64,-6.11,-5.65,0.992,3.48,-1.2
4,1.75,0.274,-3.03,-2.28,0.0145,0.155,0.282,0.296,2.48,10.7,2.18,1.12,12.5
5,1.93,0.212,1.89,-0.0717,0.315,0.116,2.72,-3.05,5.46,0.967,1.85,3.2,0.508
6,1.71,0.293,8.24,-0.0334,-0.000709,0.0349,1.91,-2.37,0.327,-9.32,-0.295,0.959,11
7,1.66,0.322,8.43,3.4,0.0046,-0.0414,0.00654,2.71,4.22,-5.05,5.3,0.447,8.55
8,1.69,0.316,-0.0034,-5.62,0.0329,1.48,0.05,0.937,5.39,2.75,2.25,9.95,2.21
9,1.76,0.274,0.821,1.31,0.0946,0.263,0.11,-1.16,5.36,5.93,1.28,2.21,2.99
10,2.8,0.318,7.29,0.236,0.000534,0.209,1.11,-3.55,-0.671,7.27,7.42,0.264,2.51
11,1.68,0.303,-4.56,-7.28,0.0754,0.00628,0.0346,-1.25,3.28,-3.88,2.09,1.59,4.76
12,1.91,0.306,0.213,-2.94,0.022,0.861,0.266,4.13,4.41,6.93,5.89,3.76,4.67
13,1.82,0.283,-1.13,5.2,0.73,-0.0751,0.127,-1.43,3.77,-1.32,0.619,1.71,0.688
14,1.8,0.265,1.3,-9.54,0.518,0.0715,0.137,-1.51,4.99,2.85,0.96,7.54,0.329
15,1.71,0.318,3.81,0.0813,0.00371,0.017,-3.66e-06,4.32,-0.457,7.29,2.08,1.33,1.98
16,1.68,0.293,-0.0112,3.71,0.0272,0.94,0.052,5.21,2.26,-9.5,7.89,2.28,8.1
17,1.84,0.24,-4.31,-0.0245,0.0216,0.0123,2.88,-2.53,3.52,4.58,4.16,-0.368,3.5
18,1.76,0.259,-2.43,-2.95,0.0826,0.00718,0.0141,0.939,4.49,12,1.38,3.34,6.1
19,2.15,0.292,0.877,1.2,0.854,-0.341,0.963,4.24,3.21,-9.51,2.06,0.638,10.5
20,1.89,0.31,-4.76,0.911,1.17,-0.194,0.449,-3.93,-2.88,5.79,1.68,0.453,3.57
21,2.14,0.251,-1.9,-1.65,0.864,0.183,0.266,-4.39,2.29,6.51,2.62,1.54,2.61
22,1.68,0.306,0.175,-0.0166,0.0264,0.0307,1.78,5.07,-1.13,-7.78,7.28,1.97,7.35
23,1.89,0.22,0.185,-1.19,0.331,0.43,0.242,0.438,-4.23,-7.96,0.195,3.14,8.8
24,1.73,0.265,-0.452,-6.4,0.249,0.349,0.012,0.83,4.02,-5.55,0.919,2.45,9.73
25,1.77,0.257,-0.878,4.13,0.998,0.0265,0.147,5.38,2.08,4.3,2.82,3.39,4.25
26,1.71,0.317,-3.47,-0.003,0.0184,-0.0493,0.361,-1.92,-4.03,4.54,2.94,1.93,2.09
27,1.8,0.253,-0.00133,0.0271,0.0211,0.594,2.52,2.52,-4.22,5.06,4.07,0.768,2.88
28,2.46,0.239,3.44,-0.453,0.893,0.301,2.16,-3.78,2.46,7.36,1.71,1.05,6.4
29,1.72,0.292,7.43,0.00218,0.000587,0.0249,4.45,-4.12,-0.87,-4.3,1.72,1.47,4.48
30,1.78,0.273,0.161,-7.04,0.692,1.81,0.164,-1.37,3.21,2.46,0.849,1.55,0.705
31,1.89,0.222,-0.975,-4.63,0.982,0.211,0.136,-1.72,6.14,4.03,0.797,4.8,3.68
32,1.73,0.341,0.000279,-0.0012,0.0372,2.18,1.65,2.64,3.73,-2.37,0.807,0.856,5.15
33,1.75,0.319,0.00729,-2.95,0.00738,0.714,0.00305,-3.42,4.41,-7.87,5.67,3.38,7.26
34,4.29,0.237,4.21,1.23,3.85,0.978,0.145,-3.14,-4.18,8.07,1.41,2.43,3.14
35,1.74,0.328,-2.84,-7.41e-07,0.00488,0.0107,5.57,6.98,-2.31,-6.86,4.85,2.92,4.17
