candidate,label,file,bin_index,qT,data,prediction,ratio,error_data,error_total,error_data_ratio,error_total_ratio,chi2dN_file,N_file
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-00y04.csv,4,9.0,4.926,4.893166542053223,0.993334661399355,0.14191668358582757,0.17460329512486872,0.028809720581775795,0.03544524870581987,2.5724912955744927,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-00y04.csv,5,11.5,3.919,3.914428234100342,0.9988334355959024,0.11256470505891268,0.133771039921517,0.028722813232690145,0.034133972932257464,2.5724912955744927,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-04y08.csv,0,1.0,3.219,3.1841418743133545,0.9891711321259257,0.09538239752700704,0.15386723516921105,0.029631064780058107,0.04779970027002518,0.8228204941171174,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-04y08.csv,1,3.0,6.676,6.598634243011475,0.9884113605469554,0.1917535011414394,0.28475671432623917,0.028722813232690145,0.04265379184035937,0.8228204941171174,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-04y08.csv,2,5.0,6.737,6.697916507720947,0.9941986800832636,0.1935055927486335,0.26018877008007035,0.02872281323269014,0.038620865382228045,0.8228204941171174,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-04y08.csv,3,7.0,5.872,5.8098978996276855,0.9894240292281481,0.1691706792561879,0.21413926056537927,0.028809720581775868,0.036467857725711726,0.8228204941171174,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-04y08.csv,4,9.0,4.863,4.858307361602783,0.9990350322029165,0.14010167118917605,0.17182186710826886,0.028809720581775864,0.03533248346869604,0.8228204941171174,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-04y08.csv,5,11.5,3.893,3.879363775253296,0.9964972451202918,0.11181791191486228,0.13232567559442876,0.02872281323269003,0.033990669302447665,0.8228204941171174,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-08y12.csv,0,1.0,3.122,3.0322558879852295,0.9712542882720147,0.09287622053033812,0.14736186924317668,0.029748949561287034,0.04720111122459215,0.5730320390705531,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-08y12.csv,1,3.0,6.462,6.3668084144592285,0.9852690211171818,0.18706346001290552,0.2730244284975645,0.028948229652260217,0.042250762689192894,0.5730320390705531,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-08y12.csv,2,5.0,6.548,6.499237060546875,0.9925530025270121,0.18807698104765505,0.2505194593658281,0.02872281323269014,0.03825892782007149,0.5730320390705531,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-08y12.csv,3,7.0,5.647,5.642328262329102,0.9991727045031169,0.16268849212528833,0.2052826153907371,0.028809720581775868,0.036352508480739704,0.5730320390705531,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-08y12.csv,4,9.0,4.716,4.7142415046691895,0.9996271214311258,0.13586664226365464,0.1656971116318127,0.02880972058177579,0.035135095765863586,0.5730320390705531,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-08y12.csv,5,11.5,3.735,3.757511615753174,1.0060272063596183,0.1076043063729324,0.12698852048997816,0.028809720581775746,0.03399960387951223,0.5730320390705531,6
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-116Q150.csv,0,1.0,0.1207,0.12153608351945877,1.0069269554221936,0.007523448488558953,0.00844949115941066,0.06233180189361187,0.07000406925775195,0.5695565898399684,8
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-116Q150.csv,1,3.0,0.2567,0.2606373429298401,1.0153383051415665,0.009212667081795587,0.011646166609241806,0.03588884722164234,0.0453687830511952,0.5695565898399684,8
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-116Q150.csv,2,5.0,0.2719,0.27432477474212646,1.0089178916591632,0.00895623945861208,0.01094949819413003,0.03293946104675278,0.0402703133289078,0.5695565898399684,8
poly_bstar_cslog_loggauss__MSHT20N3LO-MC-4-2__aggressive,4-2 best,ATLAS_8\ATLAS8-116Q150.csv,3,7.0,0.2426,0.24594353139400482,1.013782074995898,0.007991217043729949,0.009424576879643893,0.03293988888594373,0.03884821467289321,0.5695565898399684,8
