candidate,chi2dN_total,chi2dN_collider,chi2dN_fixed_target,highE_mean_absdev_first3,highE_mean_shortfall_first3,cms_highmass_mean_signed_first3,zlike_mean_signed_first3,fit_evals,fit_flag,delta_total_vs_powerseed,delta_absdev_vs_powerseed,delta_shortfall_vs_powerseed
powerseed,0.8262324197402973,0.8873009892350718,0.7438823790579502,0.05143438742616864,0.01044630898550388,0.10190219748922232,-0.017031849234213414,,,,,
powerseed_den_linear_exp,0.8148621979040744,0.9220502252726289,0.6703207670585989,0.05170637256067383,0.01407975499032043,0.09403043583334907,-0.023442186255511088,3094.0,0.0,-0.011370221836222827,0.00027198513450518713,0.00363344600481655
powerseed_den_linear_sech,0.8035793369111598,0.9580174552766517,0.5953218742667838,0.05478672486936112,0.016976227632947847,0.09414892489219444,-0.02804216725568724,3066.0,0.0,-0.022653082829137472,0.0033523374431924796,0.006529918647443967
