0,1,2,3,4,5,6,7,8
1.9668695088804633e-06,1.8601362815845599e-06,1.6554022574082717e-06,1.3861016874170445e-06,1.0835217678960397e-06,7.821099611172868e-07,5.116084093675393e-07,2.83377419274621e-07,1.197937268289361e-07
1.8601362815845599e-06,1.7594360813493583e-06,1.5661582717265746e-06,1.311813627207323e-06,1.0260568053001621e-06,7.413206453670636e-07,4.857125376701333e-07,2.6989021959652956e-07,1.1513690189280753e-07
1.6554022574082717e-06,1.5661582717265746e-06,1.3951087970418174e-06,1.1694337566218116e-06,9.16168923132648e-07,6.634228556560384e-07,4.360932075877323e-07,2.439699739791992e-07,1.0611133696181182e-07
1.3861016874170445e-06,1.311813627207323e-06,1.1694337566218116e-06,9.816738396332373e-07,7.706279568735888e-07,5.598531032582679e-07,3.7010170614362725e-07,2.0930509082498679e-07,9.376963653499044e-08
1.0835217678960397e-06,1.0260568053001621e-06,9.16168923132648e-07,7.706279568735888e-07,6.080276110102621e-07,4.4438129204238033e-07,2.964092684938664e-07,1.7065851852546726e-07,8.012733263727301e-08
7.821099611172868e-07,7.413206453670636e-07,6.634228556560384e-07,5.598531032582679e-07,4.4438129204238033e-07,3.2768641695143967e-07,2.2162390340806677e-07,1.3090736837698803e-07,6.539384482387348e-08
5.116084093675393e-07,4.857125376701333e-07,4.360932075877323e-07,3.7010170614362725e-07,2.964092684938664e-07,2.2162390340806677e-07,1.5349133340575663e-07,9.433974546310178e-08,5.136398017859411e-08
2.83377419274621e-07,2.6989021959652956e-07,2.439699739791992e-07,2.0930509082498679e-07,1.7065851852546726e-07,1.3090736837698803e-07,9.433974546310178e-08,6.174967970822911e-08,3.777413462315488e-08
1.197937268289361e-07,1.1513690189280753e-07,1.0611133696181182e-07,9.376963653499044e-08,8.012733263727301e-08,6.539384482387348e-08,5.136398017859411e-08,3.777413462315488e-08,2.7443147117377128e-08
