0,1,2,3,4,5,6
11511.06843965636,-2361.8422738028453,-3262.5085756788994,-2995.089839967418,-3945.91201138557,-2995.089839967379,-5027.472231373989
-2361.8422738028653,33316.28533251427,-9232.486293402028,-8475.725121811556,-11166.431509688164,-8475.725121811496,-14227.110025898322
-3262.5085756788903,-9232.486293401957,49746.79203130638,-11707.863053227382,-15424.644974886198,-11707.863053227376,-19652.484410773395
-2995.0898399674006,-8475.72512181144,-11707.863053227318,51751.79785277536,-14160.329813010661,-10748.202147224822,-18041.625032841985
-3945.9120113856006,-11166.431509688653,-15424.644974886061,-14160.329813010387,92455.43850031872,-14160.32981301004,-23769.125043267577
-2995.0898399673683,-8475.72512181142,-11707.863053226985,-10748.202147224818,-14160.329813010441,100362.90896388577,-18041.62503284231
-5027.472231373954,-14227.110025898091,-19652.484410774086,-18041.62503284191,-23769.125043267588,-18041.62503284172,219715.84369487356
