0,1,2
1.2032140972502504e-07,-4.7228668633899234e-08,-7.306927937284733e-08
-4.7228668633899234e-08,2.1594456303718587e-08,2.5328457720613303e-08
-7.306927937284733e-08,2.5328457720613303e-08,4.8150511586355565e-08
