qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,xf_mean,xf_min,xf_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_mult_0 ,bin_integrate_factor
True,0.1,0.0,0.2,True,15.75,13.5,18.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.024,0.006649,0.0012,0.15,16.6666666667
True,0.3,0.2,0.4,True,15.75,13.5,18.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0206,0.004361,0.00103,0.15,16.6666666667
True,0.5,0.4,0.6,True,15.75,13.5,18.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0188,0.003657,0.00094,0.15,16.6666666667
True,0.7,0.6,0.8,True,15.75,13.5,18.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0171,0.003204,0.000855,0.15,16.6666666667
True,0.9,0.8,1.0,True,15.75,13.5,18.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00973,0.001927,0.000486,0.15,16.6666666667
True,1.1,1.0,1.2,True,15.75,13.5,18.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0107,0.002013,0.000535,0.15,16.6666666667
True,1.3,1.2,1.4,True,15.75,13.5,18.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00791,0.001529,0.000396,0.15,16.6666666667
True,1.5,1.4,1.6,True,15.75,13.5,18.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00605,0.001184,0.000302,0.15,16.6666666667
True,1.7,1.6,1.8,True,15.75,13.5,18.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0035,0.000752,0.000175,0.15,16.6666666667
True,1.9,1.8,2.0,True,15.75,13.5,18.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00194,0.000472,9.7e-05,0.15,16.6666666667
True,2.1,2.0,2.2,True,15.75,13.5,18.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.002,0.000484,0.0001,0.15,16.6666666667
True,2.3,2.2,2.4,True,15.75,13.5,18.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00136,0.000364,6.8e-05,0.15,16.6666666667
True,2.5,2.4,2.6,True,15.75,13.5,18.0,True,0.05,-0.1,0.2,38.76,0.4603,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00136,0.000359,6.8e-05,0.15,16.6666666667
