0,1,2,3,4,5,6,7
5.666381748555155e-06,1.1207702365625322e-05,1.0808435693908491e-05,8.72354077048755e-06,6.846003951084847e-06,5.1250529999780526e-06,3.627298175960958e-06,2.5275064462335154e-06
1.1207702365625322e-05,2.233391136709823e-05,2.170588312668795e-05,1.7630309411087164e-05,1.3896382983946579e-05,1.0448786602100437e-05,7.423524776281596e-06,5.198305114531105e-06
1.0808435693908491e-05,2.170588312668795e-05,2.126603061536129e-05,1.7387158436969075e-05,1.3767402481462148e-05,1.0399115631200588e-05,7.418194420338522e-06,5.221383609201951e-06
8.72354077048755e-06,1.7630309411087164e-05,1.7387158436969075e-05,1.4292692998259427e-05,1.1359819323967447e-05,8.612816372573216e-06,6.1647742248135806e-06,4.357639737470286e-06
6.846003951084847e-06,1.3896382983946579e-05,1.3767402481462148e-05,1.1359819323967447e-05,9.052745854440593e-06,6.881826120981288e-06,4.937776650046706e-06,3.5009181818963193e-06
5.1250529999780526e-06,1.0448786602100437e-05,1.0399115631200588e-05,8.612816372573216e-06,6.881826120981288e-06,5.245565964842231e-06,3.772707606533465e-06,2.6829664237868985e-06
3.627298175960958e-06,7.423524776281596e-06,7.418194420338522e-06,6.1647742248135806e-06,4.937776650046706e-06,3.772707606533465e-06,2.7198612991111725e-06,1.9396747049006175e-06
2.5275064462335154e-06,5.198305114531105e-06,5.221383609201951e-06,4.357639737470286e-06,3.5009181818963193e-06,2.6829664237868985e-06,1.9396747049006175e-06,1.3881254051600389e-06
