param_i,param_j,corr,abs_corr
power_CS,a4,0.9252255549975188,0.9252255549975188
bmax_CS,power_CS,-0.8696241023161232,0.8696241023161232
a2,a4,0.7866710915954913,0.7866710915954913
bmax_CS,a4,-0.7315999393955813,0.7315999393955813
a1,a2,-0.6950354443029763,0.6950354443029763
power_CS,a2,0.6182095921691445,0.6182095921691445
b2,b3,-0.5992801061853265,0.5992801061853265
g2,a3,-0.5846856466200391,0.5846856466200391
g2,a4,-0.5749715250905214,0.5749715250905214
g2,b3,0.5558902224935588,0.5558902224935588
g2,power_CS,-0.46941379496875413,0.46941379496875413
bmax_CS,a1,-0.46328964563853764,0.46328964563853764
