param_i,param_j,corr,abs_corr
lambda1,c0,-0.8680121985723873,0.8680121985723873
sigx,amp,-0.8349120883475473,0.8349120883475473
lambda3,c1,-0.7726391616216978,0.7726391616216978
lambda1,lambda4,0.7242894806021508,0.7242894806021508
lambda1,lambda3,-0.5533806413089499,0.5533806413089499
lambda4,c0,-0.5520422831659271,0.5520422831659271
BNP,c1,0.5162974910130861,0.5162974910130861
lambda4,BNP,-0.48079018280288066,0.48079018280288066
lambda2,lambda3,-0.46957951400567605,0.46957951400567605
lambda2,c0,0.456152605917301,0.456152605917301
amp,c0,-0.44103824269421865,0.44103824269421865
sigx,c1,-0.43324887743252943,0.43324887743252943
