qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_mult_0 
True,0.847416,0.0,1.25,True,91.0,73.0,114.0,True,0.0,0,1.0,510.0,1,dσ/dqT,True,25.0,25.0,-1.0,1.0,0.217182,0.04842,0.025775,0.085
True,1.95387,1.25,2.5,True,91.0,73.0,114.0,True,0.0,0,1.0,510.0,1,dσ/dqT,True,25.0,25.0,-1.0,1.0,0.511523,0.063063,0.056793,0.085
True,3.18984,2.5,3.75,True,91.0,73.0,114.0,True,0.0,0,1.0,510.0,1,dσ/dqT,True,25.0,25.0,-1.0,1.0,0.692712,0.071652,0.033672,0.085
True,4.30734,3.75,5.0,True,91.0,73.0,114.0,True,0.0,0,1.0,510.0,1,dσ/dqT,True,25.0,25.0,-1.0,1.0,0.527631,0.058191,0.015823,0.085
True,6.30242,5.0,7.5,True,91.0,73.0,114.0,True,0.0,0,1.0,510.0,1,dσ/dqT,True,25.0,25.0,-1.0,1.0,0.302337,0.034302,0.02131,0.085
True,8.61801,7.5,10.0,True,91.0,73.0,114.0,True,0.0,0,1.0,510.0,1,dσ/dqT,True,25.0,25.0,-1.0,1.0,0.192684,0.02636,0.01761,0.085
True,11.0682,10.0,12.5,True,91.0,73.0,114.0,True,0.0,0,1.0,510.0,1,dσ/dqT,True,25.0,25.0,-1.0,1.0,0.155741,0.024539,0.013372,0.085
True,13.6988,12.5,15.0,True,91.0,73.0,114.0,True,0.0,0,1.0,510.0,1,dσ/dqT,True,25.0,25.0,-1.0,1.0,0.071483,0.016501,0.009773,0.085
True,15.9627,15.0,17.5,True,91.0,73.0,114.0,True,0.0,0,1.0,510.0,1,dσ/dqT,True,25.0,25.0,-1.0,1.0,0.049005,0.011912,0.013416,0.085
True,18.6226,17.5,20.0,True,91.0,73.0,114.0,True,0.0,0,1.0,510.0,1,dσ/dqT,True,25.0,25.0,-1.0,1.0,0.075961,0.019648,0.013199,0.085
True,22.3565,20.0,25.0,True,91.0,73.0,114.0,True,0.0,0,1.0,510.0,1,dσ/dqT,True,25.0,25.0,-1.0,1.0,0.034634,0.010312,0.007481,0.085
