model,label,table_name,initial_chi2dN_total,freeze_chi2dN_total,freeze_chi2dN_collider,freeze_chi2dN_fixed_target,freeze_highE_weighted_chi2dN,freeze_highE_mean_absdev_first3,freeze_highE_mean_shortfall_first3,freeze_cms_highmass_mean_signed_first3,freeze_zlike_mean_signed_first3,fit_evals,fit_elapsed_s,ref_0p2_chi2dN_total,ref_0p2_highE_mean_absdev_first3,ref_0p2_highE_mean_shortfall_first3,delta_chi2_freeze_minus_0p2,delta_absdev_freeze_minus_0p2,delta_shortfall_freeze_minus_0p2
poly_bstar_cslog,Poly-x bstar + CSlog,MSHT20N3LO-MC-freeze,1.55417078871963,1.0756332786950011,0.9756173341706214,1.2105032644930278,1.6861113108173353,0.05285515970128223,0.01150112201267479,0.1022988885306118,-0.018444399560520106,630,50.500366100000974,0.8355849557597974,0.052765697540144124,0.01249868200249101,0.24004832293520373,8.946216113810829e-05,-0.0009975599898162189
reduced_loggauss_powerseed,Reduced loggauss powerseed,MSHT20N3LO-MC-freeze,1.5766280222112856,1.096692218408004,1.008497373828233,1.215621630038301,1.5915855126961576,0.05359665466463351,0.010485606656997744,0.10692606877720005,-0.016908310267069997,630,59.89238480000495,0.8262324197402973,0.05143438742616864,0.01044630898550388,0.27045979866770664,0.0021622672384648683,3.929767149386462e-05
xb_bump_logb_nobump,XB logb no-bump,MSHT20N3LO-MC-freeze,1.566100111569552,1.0812150347082017,0.980510865926312,1.2170130804898411,1.3372776415614962,0.05432136578939773,0.010782165528361051,0.1088480006525917,-0.017970275880601752,630,59.51476179999736,0.8046960138303747,0.0510429157384628,0.010788245652671388,0.276519020877827,0.003278450050934932,-6.0801243103366515e-06
baseline_unfrozen,0112 baseline,MSHT20N3LO-MC-freeze,1.378577649691744,1.0203595340543963,1.1393933927931081,0.8598441790885569,1.8628391025453042,0.057240707844265125,0.022448219891674233,0.08698121988147722,-0.03741369981945705,810,66.3044280000031,0.8351773111771693,0.0550188125829113,0.020125024461523297,0.18518222287722697,0.002221895261353822,0.002323195430150936
