,lambda1,lambda2,lambda3,logx0,sigx,amp,BNP,c0,c1
lambda1,180072.24433837566,-328462.679146993,-281889.4594968091,504221.7983075764,406631.1572071689,-49852.79627535489,376666.00682907825,60339.22464670133,-65544.2631923658
lambda2,-328458.0703707208,17328027.659679532,-43786437.7548801,-145630.659831374,1522402.443428175,-16008323.037674082,62981.343451836416,-484232.68650043866,8868.787240024983
lambda3,-281912.01211405045,-43786396.06640751,179829732.3745568,-571000.2633843593,-2058654.5902851953,50239055.45582224,-22811391.988382317,-192078.01443940634,-582074.1433113734
logx0,504224.71602990763,-145708.07873637436,-570755.5322738013,11296775.194428833,-3333519.7437843536,-7359545.06134937,-2347560.323534662,230011.88237692986,-600646.1856611433
sigx,406630.39130424545,1522408.5799634084,-2058655.6200336993,-3333521.751008563,4026415.2621550984,753013.9486919276,-509535.2006485448,2166.1795427132665,-11530.798294906619
amp,-49864.900689062764,-16008195.768047277,50238765.54924531,-7359637.883431388,753017.2431502959,24969901.573621508,4890275.695619055,-136796.21930460347,65651.7988722565
BNP,376661.7815029282,63101.72618932545,-22811671.324232362,-2347566.1404307503,-509529.7377172355,4890174.586698871,18399981.004780382,-1016.6657942420934,-44869.31766032517
c0,60339.63420651944,-484239.96379928914,-192057.62980662254,230011.24750656035,2166.6934451490515,-136785.58854399252,-1012.1806199376675,67389.65255997913,6863.608112944208
c1,-65544.02834357473,8869.110100564714,-582081.3848017266,-600644.3119791734,-11530.927364599855,65648.20193815803,-44869.648660760875,6863.85970225959,64837.58564580029
