param_i,param_j,corr,abs_corr
lambda2,lambda3,-0.7843940656940569,0.7843940656940569
lambda2,amp,-0.769596099657281,0.769596099657281
lambda3,amp,0.7497255326567824,0.7497255326567824
logx0,c1,-0.7018237534203952,0.7018237534203952
lambda1,c1,-0.6065936779632769,0.6065936779632769
lambda1,c0,0.5477466471622724,0.5477466471622724
logx0,sigx,-0.49427256666002445,0.49427256666002445
lambda1,sigx,0.47754904610213283,0.47754904610213283
lambda2,c0,-0.44810823670478694,0.44810823670478694
logx0,amp,-0.438192873656231,0.438192873656231
lambda3,BNP,-0.3965631459018168,0.3965631459018168
lambda1,logx0,0.3535256952734631,0.3535256952734631
logx0,c0,0.2636188252273961,0.2636188252273961
amp,BNP,0.22814777682514356,0.22814777682514356
lambda1,BNP,0.20693042604622922,0.20693042604622922
lambda1,lambda2,-0.18594652900354228,0.18594652900354228
