,lambda1,lambda2,lambda3,logx0,sigx,amp,BNP,c0,c1
lambda1,1.0,-0.18594652900354228,-0.049536429386441184,0.3535256952734631,0.47754904610213283,-0.023510275548483204,0.20693042604622922,0.5477466471622724,-0.6065936779632769
lambda2,-0.1859439199218865,1.0,-0.7843940656940569,-0.010408808242941242,0.18226178709545734,-0.769596099657281,0.0035271884745598286,-0.44810823670478694,0.00836712491654637
lambda3,-0.049540392557442504,-0.7843933188831222,1.0,-0.012668591030258879,-0.07650564029209501,0.7497255326567824,-0.3965631459018168,-0.05517601105972258,-0.17046457550366875
logx0,0.3535277409799741,-0.010414341683066146,-0.012663161263320307,1.0,-0.49427256666002445,-0.438192873656231,-0.16282865304113697,0.2636188252273961,-0.7018237534203952
sigx,0.47754814662307427,0.18226252176051458,-0.07650567856056852,-0.49427286427813927,1.0,0.07509920231239632,-0.05919788940192288,0.004158517750769193,-0.022567667580481735
amp,-0.02351598391637601,-0.7695899812020147,0.749721206334147,-0.43819840035312857,0.07509953087363472,1.0,0.22814777682514356,-0.10545546011242568,0.05159704117430218
BNP,0.20692810476285198,0.0035339303536772847,-0.39656800199755665,-0.16282905650568077,-0.05919725471760069,0.22814305975461566,1.0,-0.0009130044955610449,-0.041079709188789955
c0,0.5477503650591876,-0.44811497110675275,-0.05517015540400264,0.2636180975963744,0.004159504313682947,-0.10544726491699358,-0.0009089766386915527,1.0,0.10383468576413639
c1,-0.6065915045039227,0.008367429514502487,-0.17046669622590535,-0.7018215641206973,-0.022567920191086582,0.051594214272983885,-0.041080012233327946,0.1038384918814255,1.0
