param,value,reference,is_free,sigma_norm,sigma_phys,frac_uncertainty,z_vs_reference,signal_to_sigma
lambda1,0.0030084468442884704,0.0,True,424.3492009399519,424.3492009399519,141052.58390906188,7.089554634778692e-06,7.089554634778692e-06
lambda2,0.9881829603727442,0.0,True,521.6409472893694,4162.6947593691675,4212.4737283458035,0.0002373902045420447,0.0002373902045420447
lambda3,-2.0401757804918006,0.0,True,670.5030431969657,13410.060863939314,6572.992872558614,-0.00015213769729994218,0.00015213769729994218
logx0,-4.309093648992335,,True,419.7993083781777,3361.0675676678734,779.9940872609826,,
sigx,1.2439928790949026,,True,1056.101551997537,2006.5929487953201,1613.0260731518542,,
amp,-0.2766006711376181,0.0,True,832.8315418168562,4996.989250901137,18065.716291826953,-5.5353465306681826e-05,5.5353465306681826e-05
BNP,1.4900635460272973,,True,1046.2243667715045,4289.519903763168,2878.749644738028,,
c0,0.06653990291412512,0.0,True,1038.38068210058,259.595170525145,3901.3457963738333,0.0002563218059084805,0.0002563218059084805
c1,0.030142226094567088,0.0,True,1018.5290228230144,254.6322557057536,8447.692446698526,0.00011837552163618523,0.00011837552163618523
