,lambda1,lambda2,lambda3,logx0,sigx,amp,BNP,c0,c1
lambda1,147806.46998128016,-348669.6703393267,-123557.7348209068,5527.836476297358,-1072.1948391251824,-100008.00999199004,-26927.301355749238,-130853.77930655633,46744.192584215336
lambda2,-348669.6703393267,1086661.2340130855,514842.4080404565,-38748.12566082219,-29353.04675986804,232011.12628624178,105178.35708278207,375781.50054278364,-88611.41230256972
lambda3,-123557.7348209068,514842.4080404565,297287.70610990806,-24407.239390551815,-8793.382196080825,56058.726991259246,82880.71952849781,166268.84808094567,-26860.862022247158
logx0,5527.836476297358,-38748.12566082219,-24407.239390551815,9621.936408406811,7052.735898458299,-536.3485477146025,-5190.859734507108,-13325.719194644586,5434.562518150688
sigx,-1072.1948391251824,-29353.04675986804,-8793.382196080825,7052.735898458299,-21860.030703699424,-1621.580679967917,550.9000957230828,-7605.571404803715,3049.891822161987
amp,-100008.00999199004,232011.12628624178,56058.726991259246,-536.3485477146025,-1621.580679967917,78295.67256474553,2093.8237077083245,93021.59493124923,-33168.96486700097
BNP,-26927.301355749238,105178.35708278207,82880.71952849781,-5190.859734507108,550.9000957230828,2093.8237077083245,-18022.399013880065,41502.64775035936,8031.933462906753
c0,-130853.77930655633,375781.50054278364,166268.84808094567,-13325.719194644586,-7605.571404803715,93021.59493124923,41502.64775035936,116023.27648591824,-44507.73824512038
c1,46744.192584215336,-88611.41230256972,-26860.862022247158,5434.562518150688,3049.891822161987,-33168.96486700097,8031.933462906753,-44507.73824512038,1280.5151936158923
