model,param,value,sigma_norm,sigma_phys,frac_uncertainty
entangle_window_exp,lambda1,0.530141503078,666.2378264663754,5316.577855201675,10028.601466464406
entangle_window_exp,lambda2,0.65553565972,1177.415996527167,9395.779652286792,14332.980232227223
entangle_window_exp,lambda4,0.0431923954434,1183.29377966297,1183.29377966297,27395.882250003408
entangle_window_exp,logx0,-4.5930620935,949.5390557361578,7602.358700395319,1655.1830882395448
entangle_window_exp,sigx,0.298543697916,537.0362774655421,1262.035252044024,4227.30495017556
entangle_window_exp,axb,-0.139694159792,572.4090583952359,2289.6362335809436,16390.35044120768
entangle_window_exp,bw,1.44590833446,1217.177731661464,3468.956535235172,2399.153841609686
entangle_window_exp,BNP,1.45811550864,1327.095284731496,5441.090667399133,3731.590971468438
entangle_window_exp,c0,0.0811779354027,1131.5585164027884,282.8896291006971,3484.809359801581
entangle_window_exp,c1,0.0193104031482,828.6750786635963,207.16876966589908,10728.350313349625
