param_i,param_j,corr,abs_corr
lambda2,BNP,-0.9554621665824821,0.9554621665824821
sigx,c0,0.9504730364592656,0.9504730364592656
amp,c0,-0.9497320019616248,0.9497320019616248
sigx,amp,-0.9334067632016968,0.9334067632016968
logb0,sigb,0.9208751993726728,0.9208751993726728
lambda1,lambda4,0.8800024524065151,0.8800024524065151
BNP,c1,-0.8522622030613918,0.8522622030613918
lambda1,logb0,-0.8445104657660862,0.8445104657660862
lambda2,axb,0.8152081182161697,0.8152081182161697
lambda4,sigb,-0.8128697667973576,0.8128697667973576
amp,axb,0.7716563639072479,0.7716563639072479
lambda1,sigb,-0.7547425947121511,0.7547425947121511
