model,param,value,sigma_norm,sigma_phys,frac_uncertainty
xb_bump_logb_nobump,lambda1,0.572652439337,0.005399827444785217,0.043090623009386035,0.07524742767056938
xb_bump_logb_nobump,lambda2,0.516295207688,0.0069707399590564455,0.05562650487327044,0.10774166415831976
xb_bump_logb_nobump,lambda4,0.0711706841836,0.013775368571685747,0.013775368571685747,0.19355397140976247
xb_bump_logb_nobump,logx0,-4.65841293039,0.009690048675069266,0.07758209144441594,0.0166541894425664
xb_bump_logb_nobump,sigx,0.270544257539,0.006375982798132463,0.01498355957561129,0.05538302572713579
xb_bump_logb_nobump,logb0,0.523011535517,0.013335978014267025,0.052170652785986815,0.09975048205087067
xb_bump_logb_nobump,sigb,0.49258204335,0.011461769751046279,0.01925577318175775,0.0390915045355718
xb_bump_logb_nobump,axb,-0.278929619317,0.011439418649761177,0.04575767459904471,0.1640473848244911
xb_bump_logb_nobump,BNP,1.48095952369,0.007727077631673422,0.03168101828986102,0.02139222428640299
xb_bump_logb_nobump,c0,0.0884920988861,0.007827024972413358,0.0019567562431033396,0.02211221417204626
xb_bump_logb_nobump,c1,0.0246715430748,0.005894661877527723,0.0014736654693819308,0.059731386274219776
