param_i,param_j,corr,abs_corr
lambda1,amp,-0.5462961126082528,0.5462961126082528
lambda1,lambda4,0.5299899345517884,0.5299899345517884
sigx,BNP,0.526903335482685,0.526903335482685
lambda1,lambda2,-0.4707382456306,0.4707382456306
lambda4,c1,-0.4497679505123462,0.4497679505123462
sigx,amp,0.4407335075982789,0.4407335075982789
amp,c0,0.4174472243093147,0.4174472243093147
sigx,c0,0.4119309491884743,0.4119309491884743
lambda2,BNP,-0.40796326606763816,0.40796326606763816
lambda1,sigx,-0.4030565330175685,0.4030565330175685
lambda4,c0,0.3976371864622127,0.3976371864622127
BNP,c0,0.35048093897193167,0.35048093897193167
