param_i,param_j,corr,abs_corr
lambda1,lambda4,0.5861658836394573,0.5861658836394573
lambda1,lambda2,-0.5711490536989837,0.5711490536989837
c0,c1,0.3987044524712204,0.3987044524712204
logb0,sigb,0.3964658375579262,0.3964658375579262
lambda1,BNP,-0.3957198504716748,0.3957198504716748
lambda4,c0,0.3348729004284338,0.3348729004284338
logb0,axb,-0.3282404708169174,0.3282404708169174
lambda1,c0,-0.28720519687955826,0.28720519687955826
axb,c0,-0.2712405208570623,0.2712405208570623
lambda4,BNP,-0.2666418986387858,0.2666418986387858
sigb,c1,-0.26616101839431006,0.26616101839431006
logb0,c0,-0.25421263381043724,0.25421263381043724
