model,param,value,sigma_norm,sigma_phys,frac_uncertainty
xb_bump_logb_mult,lambda1,0.59146879313,194.53641557292008,1552.4005962719023,2624.653429400285
xb_bump_logb_mult,lambda2,0.520716902811,439.6066706760091,3508.0612319945526,6736.983595225912
xb_bump_logb_mult,lambda4,0.0762176579776,841.1605192466659,841.1605192466659,11036.29449613735
xb_bump_logb_mult,logx0,-4.61371039654,741.8182009995428,5939.269185834844,1287.3086248085558
xb_bump_logb_mult,sigx,0.267061786301,1192.9458593240302,2803.4227694114707,10497.28157757392
xb_bump_logb_mult,amp,-0.803179330591,418.2852540489633,1673.1410161958531,2083.1475020213893
xb_bump_logb_mult,logb0,0.47151614105,859.2504682479454,3361.4075988429845,7128.934316771433
xb_bump_logb_mult,sigb,0.50003431955,967.5491959629389,1625.4826492177376,3250.742170418566
xb_bump_logb_mult,axb,-0.288066660142,960.0037933062456,3840.0151732249824,13330.300602409456
xb_bump_logb_mult,BNP,1.41794760978,1079.103364651372,4424.323795070625,3120.2307931229393
xb_bump_logb_mult,c0,0.0901663292386,475.7084914368355,118.92712285920888,1318.974875249734
xb_bump_logb_mult,c1,0.0272445785977,593.8133729211326,148.45334323028314,5448.913173603487
