model,rank,test,delta_chi2_total,delta_absdev,delta_shortfall
reduced_loggauss_powerseed,1,c0_zero,274.5255254479241,0.0157527507386846,0.0074764823230653
reduced_loggauss_powerseed,2,c1_zero,86.73382541236528,0.0024719044473708,0.0107756904643866
reduced_loggauss_powerseed,3,lambda1_zero,50.06672701594673,0.0019287989751752,0.0013395918404761
reduced_loggauss_powerseed,4,lambda2_zero,24.276867353243425,-0.0008214718631653,0.0009190923580821
reduced_loggauss_powerseed,5,bump_off,15.534096753722212,0.0019545957253699,0.0014708895423245
reduced_loggauss_powerseed,6,lambda4_zero,4.630348540604904,0.0003991605084476,-0.0006671228641958
entangle_window_exp,1,c0_zero,203.4653086846232,0.010798248465149,0.0060975200068204
entangle_window_exp,2,lambda2_zero,109.4936556833402,-0.0001399492164655,-0.0019213791451496
entangle_window_exp,3,c1_zero,83.57824466229249,-0.0005935878239317,0.006450361465982
entangle_window_exp,4,lambda1_zero,49.327285560777305,0.0004131842085731,-0.0002498177558911
entangle_window_exp,5,entangle_off,8.982978419366251,0.0016736596343595,0.0014188022486731
entangle_window_exp,6,lambda4_zero,3.6069130348829583,0.0014068252155162,0.0007222074845179
xb_bump_logb_mult,1,c0_zero,417.7086385592122,0.0153301938387115,0.011375736075086
xb_bump_logb_mult,2,c1_zero,125.4701554021389,0.001936118195534,0.0123407847241132
xb_bump_logb_mult,3,lambda1_zero,105.43357190765842,0.0018339870378412,0.0022741859593773
xb_bump_logb_mult,4,lambda4_zero,48.61195659434289,0.0012792387154381,0.0005817934352029
xb_bump_logb_mult,5,lambda2_zero,28.60856179851119,-0.0012997649815703,-0.0016195316818281
xb_bump_logb_mult,6,entangle_off,25.02788244438637,0.0042285199344765,0.0026429437444382
xb_bump_logb_mult,7,bump_off,0.8519538288890066,-0.0003854911989953,-0.0006069870272637
xb_bump_logb_nobump,1,c0_zero,309.64826096411053,0.0135002225248944,0.014026404117385
xb_bump_logb_nobump,2,lambda1_zero,224.04581488275895,0.0053177758732288,0.0042150526541524
xb_bump_logb_nobump,3,c1_zero,103.37101738933252,0.0018255202487554,0.0116469543265713
xb_bump_logb_nobump,4,lambda2_zero,26.77352039251227,-7.550434999423206e-05,-0.0003622316221872
xb_bump_logb_nobump,5,entangle_off,24.039583690903548,0.001303248753952,0.001229352878219
xb_bump_logb_nobump,6,lambda4_zero,8.510943723824541,0.0032589445604883,0.0017960780599549
