Name,E772
Comment,E772 data
Reference,Phys.Rev.D 50 (1994) 3-38 + Erratum D60 (1999) 119903
Process type,DY
Number of points,91
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.1
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
E772.8Q9.0,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.2,0.1,0.3,0.125,0.0,0.25,0.755,0.0752,25.464790894704002,False,0.0,0.0,-1000.0,1000.0
E772.8Q9.1,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.2,0.1,0.3,0.375,0.25,0.5,0.639,0.0367,8.488263631568001,False,0.0,0.0,-1000.0,1000.0
E772.8Q9.2,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.2,0.1,0.3,0.625,0.5,0.75,0.453,0.0229,5.092958178940801,False,0.0,0.0,-1000.0,1000.0
E772.8Q9.3,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.2,0.1,0.3,0.875,0.75,1.0,0.387,0.0192,3.637827270672,False,0.0,0.0,-1000.0,1000.0
E772.8Q9.4,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.2,0.1,0.3,1.125,1.0,1.25,0.239,0.0131,2.829421210522667,False,0.0,0.0,-1000.0,1000.0
E772.8Q9.5,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.2,0.1,0.3,1.375,1.25,1.5,0.172,0.0105,2.3149809904276366,False,0.0,0.0,-1000.0,1000.0
E772.8Q9.6,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.2,0.1,0.3,1.625,1.5,1.75,0.12,0.00867,1.958830068823385,False,0.0,0.0,-1000.0,1000.0
E772.8Q9.7,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.2,0.1,0.3,1.875,1.75,2.0,0.0743,0.00701,1.6976527263136003,False,0.0,0.0,-1000.0,1000.0
E772.8Q9.8,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.2,0.1,0.3,2.125,2.0,2.25,0.0434,0.00555,1.497928876159059,False,0.0,0.0,-1000.0,1000.0
E772.8Q9.9,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.2,0.1,0.3,2.375,2.25,2.5,0.0199,0.00343,1.3402521523528421,False,0.0,0.0,-1000.0,1000.0
E772.8Q9.10,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.2,0.1,0.3,2.625,2.5,2.75,0.0102,0.00249,1.212609090224,False,0.0,0.0,-1000.0,1000.0
E772.8Q9.11,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.2,0.1,0.3,2.875,2.75,3.0,0.007,0.00249,1.1071648215088696,False,0.0,0.0,-1000.0,1000.0
E772.8Q9.12,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.2,0.1,0.3,3.125,3.0,3.25,0.00323,0.00248,1.0185916357881601,False,0.0,0.0,-1000.0,1000.0
E772.8Q9.13,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.2,0.1,0.3,3.375,3.25,3.5,0.00666,0.00597,0.9431404035075557,False,0.0,0.0,-1000.0,1000.0
