0,1.68,0.307,0.778,-7.54,0.0309,0.221,0.0379,0.889,5.71,-4.9,2.1,3.76,6.44
1,1.75,0.265,2.29,-10.2,0.932,0.105,0.0767,3.19,0.00051,-2.48,1.31,1.34,2.43
2,1.73,0.287,0.0469,-5.22,0.169,2.37,0.0381,-6.83,-4.02,-1.26,5.25,2.57,2.01
3,1.73,0.329,0.692,-2.09,0.0364,-0.19,-0.000999,1.88,4.77,-4.33,2.16,2.99,2.67
4,1.83,0.219,5.79,-0.0491,0.0976,0.08,6.47,-7.15,3.54,-2.16,1.85,3.31,1.12
5,1.73,0.268,-3.39,11.9,0.361,0.0236,0.0188,5.81,-1.88,-6.15,2.53,2.9,10.6
6,2.38,0.266,11.8,-0.648,0.949,0.208,1.64,4.02,6.1,-4.13,1.36,3.4,2.19
7,1.7,0.289,0.00314,-4.14,0.0496,2.51,0.0778,1.21,7.02,-3.3,2.23,5.76,3.16
0,1.27,0.525,-4.9,-9.75,2.55,0.55,-0.292,3.74,-6.89,0.886,0.598,6.69,0.746
0,1.3,0.5,2.08,-4.03,-0.218,-0.197,0.00509,4.39,3.01,-5.44,0.221,-0.00379,2.18
0,1.82,0.5,2.02,-4.04,-0.222,-0.197,0.00404,-1.59,3,-5.44,0.817,-0.00398,2.17
0,1.64,0.281,-0.34,-0.06,0.031,-0.026,0.098,0.501,1.17,1.8,0.925,-8.32
0,1.65,0.292,0.405,-0.115,0.0554,0.0571,-0.00394,-0.2,1.71,2.79,-1.49,0.754
0,0.85,0.336,0,0.00571,0.0629,0.0923,2.96,2.37,1.67,0.143,0.444,0.989,1.19
0,0.838,0.336,0.426,0.00332,0.0168,0.0746,3.01,2.38,1.71,0.00517,0.44,1.04,1.18
0,1.91,0.322,6.38e-07,22.1,0.0559,9.55,1.25e-24,2.01,1.7,0.166,0.592,7.54,27.6
0,1.91,0.322,6.38e-07,22.1,0.0559,9.55,1.25e-24,2.01,1.7,0.166,0.592,7.54,27.6
0,1.32,0.288,0.358,0.000875,0.0252,0.135,8.39,6.07,5.62,4.43,9.4,1.49,8.8
