mode,curvature_eig,variance_eig_norm,lambda1_shift_phys,lambda1_loading_over_sigma,lambda2_shift_phys,lambda2_loading_over_sigma,lambda4_shift_phys,lambda4_loading_over_sigma,logx0_shift_phys,logx0_loading_over_sigma,sigx_shift_phys,sigx_loading_over_sigma,amp_shift_phys,amp_loading_over_sigma,BNP_shift_phys,BNP_loading_over_sigma,c0_shift_phys,c0_loading_over_sigma,c1_shift_phys,c1_loading_over_sigma
1,2457.3539622460903,0.0008138835636734842,-0.012708240054962426,-0.220856234613198,0.020533502717715743,0.24538735038100562,0.0013695776568357688,0.0874740831548679,0.12459280116876922,0.6283791793342612,0.016726844804533195,0.42486097763499003,0.08899025854643583,0.8423536602399095,-0.0037889786923466094,-0.07958818206226756,0.0009144536903197136,0.34453051183235883,0.00022815782563128566,0.1071317139196301
2,3539.246390018847,0.0005650920505676774,-0.003896734956070912,-0.0677212742253311,0.0034969848009871857,0.0417910108389123,-0.0018557980350968584,-0.11852867986745286,-0.15099411410001656,-0.7615332235282907,-0.00021885489823111705,-0.005558902895869462,0.055224972354997424,0.5227421333494152,0.01146768831024401,0.24088086505015005,-0.0005935244797251732,-0.2236168927409053,-0.0003026537243446508,-0.14211133071367976
3,6259.272406014841,0.00031952595609644656,0.04085175157577592,0.7099617249405448,-0.05140321084613419,-0.6142983924377542,0.01444417128237052,0.9225403419448042,-0.016802599448895627,-0.08474328816218912,0.011804524257285787,0.29983429481615004,-0.001280383617811914,-0.012119706635218892,0.004192475249917423,0.08806370016172549,0.0007797807264476507,0.29379098760713485,-0.00040912048722958026,-0.1921028957707993
4,8215.646286131217,0.00024343793906709307,-0.01646014507150309,-0.2860605123885433,0.013023509539421165,0.15563854557474296,-0.004159735772732057,-0.2656797670947077,-0.017058451771477377,-0.08603366987755731,0.03339147153814126,0.8481416195432655,-0.013332304718213709,-0.12619938251961543,0.0010240121788411846,0.021509560845040528,0.0003167328439878393,0.11933259169755954,-5.375543034954432e-06,-0.00252409110662751
5,12184.287599780035,0.00016414582991590781,0.006190958605031849,0.10759253840342677,-0.030660142176616417,-0.36640660653253554,-0.0019616058672960197,-0.12528656107705818,0.020043754456547325,0.1010899334314009,0.0015716111789306003,0.03991884122471048,0.0003924162570958378,0.003714488258620341,0.038107287174935396,0.8004504527048494,-0.0012944176026908785,-0.48768610581470057,-0.0012503650815045028,-0.5871100578566666
6,17977.72083658338,0.00011124880724202506,-0.031606538251501,-0.549289358494508,0.02509481960973533,0.2998977513470871,0.0013277304236671101,0.08480132609306418,-0.003935417414216648,-0.019848132009918164,-0.003558643557118824,-0.09038935904530002,-0.003086453811308413,-0.029215396242055186,0.023917215350131475,0.5023854300246333,0.0017082270746936851,0.643593387615225,-6.189301078651664e-05,-0.029061919339647052
7,24653.819145260513,8.112333380138732e-05,-0.006211130683961068,-0.10794310853566848,0.04375681411391334,0.5229194854935041,0.0026012392952591964,0.16613955498143632,0.00036275781114996426,0.0018295555885185916,0.0003812973320379378,0.009684932164573438,-0.0015106913826101762,-0.014299727143399091,-0.006690067180696211,-0.14052606995693903,-0.0005766400874897464,-0.21725551177604077,-0.001490189401053818,-0.6997197845747324
8,109559.20023514485,1.8254970789376412e-05,0.005107762947457314,0.08876770402458121,0.016188803564469893,0.19346565791215242,0.0011682494528698492,0.07461537451046507,0.0005267957147296543,0.00265687468130865,0.0007451743330226101,0.018927388837295018,-0.0006323053808453028,-0.005985202882251465,0.005715553777045484,0.12005623982869429,-0.0004567696110237892,-0.17209298791333336,0.000659239143741065,0.30954633774439916
9,994765.0687058896,2.0105249600308684e-06,0.009617009989938639,0.16713381281981432,0.003115782092771171,0.03723541582849619,-0.00037544791213148715,-0.023979627385268775,-1.9786459546269934e-05,-9.979227607840516e-05,-5.0465415552073274e-05,-0.0012818188988277782,4.225975031295086e-05,0.00040001743941853673,0.0005852582422746667,0.012293455129131626,0.00011491989904679106,0.043297339228267735,-4.506428741761534e-05,-0.02115997702142349
