qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 ,bin_integrate_factor
True,0.1,0.0,0.2,True,5.5,5.0,6.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,1.63,0.11,0.25,8.3333333333
True,0.3,0.2,0.4,True,5.5,5.0,6.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,1.44,0.08,0.25,8.3333333333
True,0.5,0.4,0.6,True,5.5,5.0,6.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,1.19,0.07,0.25,8.3333333333
True,0.7,0.6,0.8,True,5.5,5.0,6.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,1.04,0.07,0.25,8.3333333333
True,0.9,0.8,1.0,True,5.5,5.0,6.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.601,0.051,0.25,8.3333333333
True,1.1,1.0,1.2,True,5.5,5.0,6.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.441,0.043,0.25,8.3333333333
True,1.3,1.2,1.4,True,5.5,5.0,6.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.248,0.03,0.25,8.3333333333
True,1.5,1.4,1.6,True,5.5,5.0,6.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.255,0.036,0.25,8.3333333333
True,1.7,1.6,1.8,True,5.5,5.0,6.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.159,0.028,0.25,8.3333333333
True,1.9,1.8,2.0,True,5.5,5.0,6.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.063,0.015,0.25,8.3333333333
True,2.1,2.0,2.2,True,5.5,5.0,6.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.044,0.016,0.25,8.3333333333
True,2.3,2.2,2.4,True,5.5,5.0,6.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.05,0.016,0.25,8.3333333333
True,2.5,2.4,2.6,True,5.5,5.0,6.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0081,0.0083,0.25,8.3333333333
True,2.7,2.6,2.8,True,5.5,5.0,6.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0118,0.0087,0.25,8.3333333333
True,2.9,2.8,3.0,True,5.5,5.0,6.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0042,0.0042,0.25,8.3333333333
True,3.3,3.2,3.4,True,5.5,5.0,6.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,-0.005,0.0051,0.25,8.3333333333
