qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 ,bin_integrate_factor
True,0.1,0.0,0.2,True,8.5,8.0,9.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.158,0.009,0.25,8.3333333333
True,0.3,0.2,0.4,True,8.5,8.0,9.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.138,0.005,0.25,8.3333333333
True,0.5,0.4,0.6,True,8.5,8.0,9.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.122,0.004,0.25,8.3333333333
True,0.7,0.6,0.8,True,8.5,8.0,9.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.112,0.004,0.25,8.3333333333
True,0.9,0.8,1.0,True,8.5,8.0,9.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.083,0.003,0.25,8.3333333333
True,1.1,1.0,1.2,True,8.5,8.0,9.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.063,0.003,0.25,8.3333333333
True,1.3,1.2,1.4,True,8.5,8.0,9.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.047,0.002,0.25,8.3333333333
True,1.5,1.4,1.6,True,8.5,8.0,9.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.039,0.002,0.25,8.3333333333
True,1.7,1.6,1.8,True,8.5,8.0,9.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.023,0.002,0.25,8.3333333333
True,1.9,1.8,2.0,True,8.5,8.0,9.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0171,0.0012,0.25,8.3333333333
True,2.1,2.0,2.2,True,8.5,8.0,9.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0095,0.0011,0.25,8.3333333333
True,2.3,2.2,2.4,True,8.5,8.0,9.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0072,0.0009,0.25,8.3333333333
True,2.5,2.4,2.6,True,8.5,8.0,9.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0039,0.0007,0.25,8.3333333333
True,2.7,2.6,2.8,True,8.5,8.0,9.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0033,0.0006,0.25,8.3333333333
True,2.9,2.8,3.0,True,8.5,8.0,9.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.0016,0.0004,0.25,8.3333333333
True,3.1,3.0,3.2,True,8.5,8.0,9.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.00084,0.00036,0.25,8.3333333333
True,3.3,3.2,3.4,True,8.5,8.0,9.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.00083,0.00032,0.25,8.3333333333
True,3.5,3.4,3.6,True,8.5,8.0,9.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.00026,0.00018,0.25,8.3333333333
True,3.7,3.6,3.8,True,8.5,8.0,9.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.00063,0.00028,0.25,8.3333333333
True,4.7,4.6,4.8,True,8.5,8.0,9.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.00015,0.00015,0.25,8.3333333333
