qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 ,bin_integrate_factor
True,0.1,0.0,0.2,True,5.5,5.0,6.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,2.88,0.12,0.25,8.3333333333
True,0.3,0.2,0.4,True,5.5,5.0,6.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,2.76,0.08,0.25,8.3333333333
True,0.5,0.4,0.6,True,5.5,5.0,6.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,2.3,0.07,0.25,8.3333333333
True,0.7,0.6,0.8,True,5.5,5.0,6.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,2.08,0.07,0.25,8.3333333333
True,0.9,0.8,1.0,True,5.5,5.0,6.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,1.48,0.06,0.25,8.3333333333
True,1.1,1.0,1.2,True,5.5,5.0,6.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,1.18,0.06,0.25,8.3333333333
True,1.3,1.2,1.4,True,5.5,5.0,6.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.817,0.048,0.25,8.3333333333
True,1.5,1.4,1.6,True,5.5,5.0,6.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.59,0.043,0.25,8.3333333333
True,1.7,1.6,1.8,True,5.5,5.0,6.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.458,0.037,0.25,8.3333333333
True,1.9,1.8,2.0,True,5.5,5.0,6.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.319,0.032,0.25,8.3333333333
True,2.1,2.0,2.2,True,5.5,5.0,6.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.167,0.024,0.25,8.3333333333
True,2.3,2.2,2.4,True,5.5,5.0,6.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.111,0.021,0.25,8.3333333333
True,2.5,2.4,2.6,True,5.5,5.0,6.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.071,0.019,0.25,8.3333333333
True,2.7,2.6,2.8,True,5.5,5.0,6.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.049,0.015,0.25,8.3333333333
True,2.9,2.8,3.0,True,5.5,5.0,6.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.053,0.014,0.25,8.3333333333
True,3.1,3.0,3.2,True,5.5,5.0,6.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.008,0.013,0.25,8.3333333333
True,3.5,3.4,3.6,True,5.5,5.0,6.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.026,0.013,0.25,8.3333333333
True,3.7,3.6,3.8,True,5.5,5.0,6.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.01,0.01,0.25,8.3333333333
True,4.5,4.4,4.6,True,5.5,5.0,6.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.027,0.028,0.25,8.3333333333
