param_i,param_j,corr,abs_corr
lambda1,lambda3,-0.741626283717118,0.741626283717118
lambda1,lambda4,0.5878610786657619,0.5878610786657619
lambda1,c1,0.44192182528826485,0.44192182528826485
lambda3,c1,-0.38874619665667864,0.38874619665667864
lambda3,BNP,-0.37205610801383115,0.37205610801383115
lambda3,lambda4,-0.3468825856599626,0.3468825856599626
lambda1,c0,-0.330295356092798,0.330295356092798
lambda3,amp,0.31894935562708515,0.31894935562708515
lambda4,c0,0.230484409813731,0.230484409813731
lambda1,amp,-0.21489505620297597,0.21489505620297597
BNP,c0,-0.18759964928452227,0.18759964928452227
amp,c0,-0.13054527440804853,0.13054527440804853
lambda4,amp,0.10372720376600965,0.10372720376600965
lambda4,c1,0.09971993062069755,0.09971993062069755
lambda4,BNP,-0.09262798907613252,0.09262798907613252
lambda1,BNP,0.08149169925699815,0.08149169925699815
