qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_add_0,error_mult_0 
True,1.0,0.0,2.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.0271,0.000352,0.000271,0.000136,0.0
True,3.0,2.0,4.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.0568,0.000454,0.000398,0.000227,0.0
True,5.0,4.0,6.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.0564,0.000451,0.000282,0.000282,0.0
True,7.0,6.0,8.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.0471,0.000377,0.000283,0.000236,0.0
True,9.0,8.0,10.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.0395,0.000356,0.000237,0.000158,0.0
True,11.0,10.0,12.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.0322,0.000322,0.000225,0.000129,0.0
True,13.0,12.0,14.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.0266,0.000293,0.000186,0.000106,0.0
True,15.0,14.0,16.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.0227,0.000295,0.000159,0.000114,0.0
True,17.0,16.0,18.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.0199,0.000279,0.000159,0.0001,0.0
True,20.0,18.0,22.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.016,0.000192,9.6e-05,8e-05,0.0
True,24.0,22.0,26.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.0123,0.000172,9.8e-05,7.4e-05,0.0
