qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_add_0,error_mult_0 
True,1.5,1.0,2.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,4.7387,0.14221,5e-06,0.025
True,2.5,2.0,3.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,6.1954,0.175164,6e-06,0.025
True,3.5,3.0,4.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,7.0506,0.18777,7e-06,0.025
True,4.5,4.0,5.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,7.2887,0.184228,7e-06,0.025
True,5.5,5.0,6.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,7.1054,0.171725,7e-06,0.025
True,6.5,6.0,7.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,6.6879,0.154719,7e-06,0.025
True,7.5,7.0,8.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,6.199,0.13744,6e-06,0.025
True,8.5,8.0,9.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,5.7522,0.12139,6e-06,0.025
True,9.5,9.0,10.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,5.3334,0.10767,5e-06,0.025
True,10.5,10.0,11.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,4.908,0.096773,5e-06,0.025
True,11.5,11.0,12.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,4.5071,0.086663,5e-06,0.025
True,12.5,12.0,13.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,4.169,0.077866,4e-06,0.025
