qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 
True,1.0,0.0,2.0,True,675.0,350.0,1000.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.00238,0.000308,0.012
True,3.0,2.0,4.0,True,675.0,350.0,1000.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.00565,0.000464,0.012
True,5.0,4.0,6.0,True,675.0,350.0,1000.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.00699,0.000475,0.012
True,7.0,6.0,8.0,True,675.0,350.0,1000.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.00688,0.000433,0.012
True,9.0,8.0,10.0,True,675.0,350.0,1000.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.00614,0.000405,0.012
True,11.0,10.0,12.0,True,675.0,350.0,1000.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.00603,0.00044,0.012
True,13.0,12.0,14.0,True,675.0,350.0,1000.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.00528,0.000396,0.012
True,16.0,14.0,18.0,True,675.0,350.0,1000.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.00511,0.000337,0.012
True,20.0,18.0,22.0,True,675.0,350.0,1000.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.00453,0.000326,0.012
True,25.0,22.0,28.0,True,675.0,350.0,1000.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.00404,0.000324,0.012
True,40.0,28.0,52.0,True,675.0,350.0,1000.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.00212,0.000131,0.012
True,106.0,52.0,160.0,True,675.0,350.0,1000.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,0.000578,4e-05,0.012
True,580.0,160.0,1000.0,True,675.0,350.0,1000.0,True,0.0,0,2.4,13000.0,1,dσ/dqT,True,25.0,20.0,-2.4,2.4,2.5e-05,2e-06,0.012
