param_i,param_j,corr,abs_corr
amp,c1,-0.996710215676385,0.996710215676385
lambda1,c0,0.9917558539615475,0.9917558539615475
logx0,c1,0.9909954236258953,0.9909954236258953
sigx,BNP,-0.9898777646811096,0.9898777646811096
logx0,amp,-0.9768826680218863,0.9768826680218863
lambda1,lambda3,-0.9586505423111786,0.9586505423111786
lambda2,c0,0.9479272098470813,0.9479272098470813
lambda3,c0,-0.9142811545076953,0.9142811545076953
lambda1,lambda2,0.8993021685721264,0.8993021685721264
sigx,amp,-0.8638221055373244,0.8638221055373244
sigx,c1,0.8201469671565261,0.8201469671565261
amp,BNP,0.7835762825520288,0.7835762825520288
lambda2,lambda3,-0.7376571491409902,0.7376571491409902
logx0,sigx,0.7361510204302365,0.7361510204302365
BNP,c1,-0.7306459167894575,0.7306459167894575
lambda3,logx0,0.7276393824802986,0.7276393824802986
