0,1,2,3,4,5
9.988819958735511e-08,9.323866280260543e-08,6.656877303199322e-08,5.1392755829997884e-08,3.7671901178674566e-08,2.6502376146893776e-08
9.323866280260543e-08,8.703303380846706e-08,6.214193263755952e-08,4.797779731324613e-08,3.5171636593589885e-08,2.4746331373771537e-08
6.656877303199322e-08,6.214193263755952e-08,4.438191592050604e-08,3.427457961317811e-08,2.5135794446931807e-08,1.769476941007884e-08
5.1392755829997884e-08,4.797779731324613e-08,3.427457961317811e-08,2.6475239110487736e-08,1.9422919192402596e-08,1.3679837095175499e-08
3.7671901178674566e-08,3.5171636593589885e-08,2.5135794446931807e-08,1.9422919192402596e-08,1.4256852884506983e-08,1.0048833168377296e-08
2.6502376146893776e-08,2.4746331373771537e-08,1.769476941007884e-08,1.3679837095175499e-08,1.0048833168377296e-08,7.090219528170817e-09
