0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.0010736337828074786,0.00301457834719463,0.004429706678063282,0.005208163602175092,0.0054222501407081665,0.005240670758331121,0.0048468851770292086,0.004373158733176533,0.0038940958272678824,0.0034504144516651174,0.0030432134899604103,0.002696262919953586,0.0024239248255619713,0.002191445376418551,0.002003780228278872,0.0018539428651980852,0.0017388229027472404,0.0015774383801103811,0.0014103963752362917,0.0012673609338725706,0.0011428067891844163,0.0010086984469748286,0.0008930421062276474,0.0007934073728159197,0.0007204967102761885,0.0006649773733162516
0.00301457834719463,0.008465187265711953,0.01244081818931734,0.014630277433726788,0.01523547401846846,0.01472920814465472,0.013626007578957417,0.01229718891820709,0.01095248706973389,0.009706549171137913,0.008562809063495165,0.007588011734909774,0.006822541323026929,0.006168799704480865,0.005640964553967631,0.005219308389523602,0.004894844814561327,0.004441351808455222,0.003972889315774898,0.0035701831069879127,0.003219477979408127,0.002842501080918888,0.0025172408319923804,0.0022370135440006513,0.0020317013505728354,0.0018752638540351996
0.004429706678063282,0.01244081818931734,0.018288951624149886,0.021517135756589218,0.02241840197328009,0.021684877893311475,0.02007086960024658,0.018121873794433037,0.016146902245540568,0.01431536519912052,0.012633489286031772,0.01119918238943188,0.01007208420472074,0.00910845480552381,0.008330116848069714,0.007707764787879377,0.0072276270958216956,0.006559840160933313,0.005873000661565315,0.005278189515982639,0.004759956512206592,0.004204826017357202,0.003725427244170394,0.0033122624960379163,0.0030089180884604744,0.002777460405070023
0.005208163602175092,0.014630277433726788,0.021517135756589218,0.025332430787148637,0.026413640283586885,0.025569935244255465,0.023685033584793888,0.02140007751262141,0.019079857330535997,0.016925366530486742,0.014945688739543293,0.013255963580511879,0.0119267016645535,0.010788344645834683,0.009868332789662189,0.009131623060060955,0.008560974464838115,0.007773351337518994,0.006968832492279317,0.006263600160091171,0.005649135669127434,0.0049943095166162755,0.004428081579160871,0.003939776075281418,0.0035801785023738078,0.0033051983817482295
0.0054222501407081665,0.01523547401846846,0.02241840197328009,0.026413640283586885,0.027564664882226794,0.02670853856376259,0.024761561899428214,0.022390855039184237,0.01997782405588331,0.017733812997223375,0.01567031614005493,0.013907297895810739,0.012518631624494415,0.011327234837640362,0.010363689461331291,0.009590832204207988,0.008989477869117492,0.008166555456683848,0.007332324572209022,0.006591286774717488,0.0059454498031045935,0.005261124272435368,0.004668524282319154,0.004157136883988173,0.003779213564225014,0.0034894706853759077
0.005240670758331121,0.01472920814465472,0.021684877893311475,0.025569935244255465,0.02670853856376259,0.025904338570919748,0.024039043285530783,0.021756871170784328,0.019427958509377004,0.01725876087674445,0.015262074322581528,0.013554369526793533,0.01220741997020161,0.011049608360619786,0.010112508684134129,0.009359464416335766,0.008770688663888545,0.007972351221805415,0.007169356482798242,0.006446041300039941,0.005815558620042158,0.005151405018665805,0.004575400862281327,0.004077973647089427,0.003708973299442297,0.0034251993147595586
0.0048468851770292086,0.013626007578957417,0.02007086960024658,0.023685033584793888,0.024761561899428214,0.024039043285530783,0.022329373355004678,0.020227682682465758,0.018077473215093644,0.016071694990706892,0.014223237243934837,0.012640761417558447,0.011390847275739188,0.010314505390186407,0.009442657770000027,0.008740713413037152,0.008189254265959381,0.007448287509576354,0.006708586988483736,0.006032973698959039,0.00544428980295203,0.004827487012433486,0.004291781987845001,0.0038288176560322563,0.003484101849906772,0.0032181167180188883
0.004373158733176533,0.01229718891820709,0.018121873794433037,0.02140007751262141,0.022390855039184237,0.021756871170784328,0.020227682682465758,0.018339545126963702,0.016403219181426135,0.014594490667729656,0.012925448337400272,0.011495330037536724,0.010364231667024841,0.009388648775131066,0.008597798459449467,0.007959889694418965,0.007456452203169593,0.00678579935548001,0.006121005671159818,0.005505472314841011,0.004969804229172994,0.004411099317292023,0.003925228734018255,0.003505041076261173,0.0031910892115250967,0.0029480223309212693
0.0038940958272678824,0.01095248706973389,0.016146902245540568,0.019079857330535997,0.01997782405588331,0.019427958509377004,0.018077473215093644,0.016403219181426135,0.014682496429768488,0.013073223671497783,0.011586195932331008,0.01031107971719368,0.009301267448856676,0.008429095181542078,0.007721526055229669,0.007149792313047699,0.0066966230030025675,0.006097810940393863,0.0055083266183772175,0.004954781603287012,0.0044742899609332785,0.003974980150425677,0.0035402599990020773,0.0031640657267273447,0.0028820916504404795,0.0026630652463777377
0.0034504144516651174,0.009706549171137913,0.01431536519912052,0.016925366530486742,0.017733812997223375,0.01725876087674445,0.016071694990706892,0.014594490667729656,0.013073223671497783,0.01164914156235827,0.010330935364171807,0.009199999660237582,0.008303205603684078,0.007527741338059735,0.006898123053445226,0.0063884553631570196,0.005982643637532588,0.00545103181631992,0.004930952293952359,0.004435509432124225,0.004007078696332653,0.0035631441842618908,0.0031762315935088443,0.0028411772399100747,0.0025893265668284256,0.0023930127546667253
0.0030432134899604103,0.008562809063495165,0.012633489286031772,0.014945688739543293,0.01567031614005493,0.015262074322581528,0.014223237243934837,0.012925448337400272,0.011586195932331008,0.010330935364171807,0.009167838781756584,0.008169145818066527,0.007376249149751227,0.006689745283917157,0.006131960256925961,0.005679754586298334,0.005318333776016778,0.004848113904190509,0.004391588638555399,0.003950309141399457,0.0035698645420746203,0.003176999238727701,0.002834225686300429,0.0025372465406281975,0.002313340694652411,0.0021383533765696305
0.002696262919953586,0.007588011734909774,0.01119918238943188,0.013255963580511879,0.013907297895810739,0.013554369526793533,0.012640761417558447,0.011495330037536724,0.01031107971719368,0.009199999660237582,0.008169145818066527,0.007283474512294953,0.006579464376054379,0.0059692783286466496,0.005473138491428485,0.00507029179240262,0.0047470701173661116,0.004329591074952197,0.0039269884080771885,0.0035322322270248813,0.0031932037306419137,0.002844040119319328,0.0025390979205200006,0.002274755635241802,0.002074925647685667,0.0019183260079738637
0.0024239248255619713,0.006822541323026929,0.01007208420472074,0.0119267016645535,0.012518631624494415,0.01220741997020161,0.011390847275739188,0.010364231667024841,0.009301267448856676,0.008303205603684078,0.007376249149751227,0.006579464376054379,0.005945684626622325,0.005395630059301355,0.004948262767125619,0.004584609731279961,0.004291964772769804,0.003915998351065027,0.0035551501689856115,0.0031978341531336274,0.002891691783357292,0.002577044713630331,0.002302048243883369,0.002063567225046735,0.001882922636713974,0.0017410211790659625
0.002191445376418551,0.006168799704480865,0.00910845480552381,0.010788344645834683,0.011327234837640362,0.011049608360619786,0.010314505390186407,0.009388648775131066,0.008429095181542078,0.007527741338059735,0.006689745283917157,0.0059692783286466496,0.005395630059301355,0.004897926983014721,0.004492768738572784,0.0041631178653459425,0.0038972922402348586,0.0035571257482742164,0.0032321647055261215,0.0029068316786502665,0.002629408118773,0.0023444293049151577,0.002095241814426839,0.0018790767931470582,0.001715092543898662,0.001586066805769769
0.002003780228278872,0.005640964553967631,0.008330116848069714,0.009868332789662189,0.010363689461331291,0.010112508684134129,0.009442657770000027,0.008597798459449467,0.007721526055229669,0.006898123053445226,0.006131960256925961,0.005473138491428485,0.004948262767125619,0.004492768738572784,0.004121843684848677,0.0038198104038829413,0.0035758300368690893,0.003264627587995519,0.0029681247112036146,0.0026692951471800536,0.0024151618710385398,0.0021542172488469074,0.001925966372446535,0.0017279204377737003,0.0015775169188334472,0.0014590003150538472
0.0018539428651980852,0.005219308389523602,0.007707764787879377,0.009131623060060955,0.009590832204207988,0.009359464416335766,0.008740713413037152,0.007959889694418965,0.007149792313047699,0.0063884553631570196,0.005679754586298334,0.00507029179240262,0.004584609731279961,0.0041631178653459425,0.0038198104038829413,0.0035402129946382173,0.0033141363403800055,0.003026120465394044,0.0027523160002208146,0.0024748859878688024,0.0022396946386384685,0.001998102441210882,0.001786753896613756,0.0016033572843678842,0.0014640026787828264,0.0013540872024061994
0.0017388229027472404,0.004894844814561327,0.0072276270958216956,0.008560974464838115,0.008989477869117492,0.008770688663888545,0.008189254265959381,0.007456452203169593,0.0066966230030025675,0.005982643637532588,0.005318333776016778,0.0047470701173661116,0.004291964772769804,0.0038972922402348586,0.0035758300368690893,0.0033141363403800055,0.0031031818138219417,0.0028328569431843994,0.0025754208477191767,0.0023161007264598478,0.0020960125857012067,0.00186958428527761,0.0016715849684992704,0.0014997946840711943,0.0013693460754778204,0.001266487452634018
0.0015774383801103811,0.004441351808455222,0.006559840160933313,0.007773351337518994,0.008166555456683848,0.007972351221805415,0.007448287509576354,0.00678579935548001,0.006097810940393863,0.00545103181631992,0.004848113904190509,0.004329591074952197,0.003915998351065027,0.0035571257482742164,0.003264627587995519,0.003026120465394044,0.0028328569431843994,0.0025878269436267654,0.002354970756610472,0.002118064507232398,0.001917492266219958,0.0017115387678587678,0.0015312883571342393,0.0013748471075843887,0.001255799475592038,0.001161710772030739
0.0014103963752362917,0.003972889315774898,0.005873000661565315,0.006968832492279317,0.007332324572209022,0.007169356482798242,0.006708586988483736,0.006121005671159818,0.0055083266183772175,0.004930952293952359,0.004391588638555399,0.0039269884080771885,0.0035551501689856115,0.0032321647055261215,0.0029681247112036146,0.0027523160002208146,0.0025754208477191767,0.002354970756610472,0.0021568759442060275,0.0019321441226159153,0.0017513225507214314,0.0015659394146518247,0.001403240721879175,0.0012618196152206988,0.001153537712769761,0.0010676088955851246
0.0012673609338725706,0.0035701831069879127,0.005278189515982639,0.006263600160091171,0.006591286774717488,0.006446041300039941,0.006032973698959039,0.005505472314841011,0.004954781603287012,0.004435509432124225,0.003950309141399457,0.0035322322270248813,0.0031978341531336274,0.0029068316786502665,0.0026692951471800536,0.0024748859878688024,0.0023161007264598478,0.002118064507232398,0.0019321441226159153,0.0017390162898476519,0.0015748304420472195,0.0014080232572187968,0.0012616583296423968,0.0011345037389993986,0.001037074978630045,0.0009597172959122028
0.0011428067891844163,0.003219477979408127,0.004759956512206592,0.005649135669127434,0.0059454498031045935,0.005815558620042158,0.00544428980295203,0.004969804229172994,0.0044742899609332785,0.004007078696332653,0.0035698645420746203,0.0031932037306419137,0.002891691783357292,0.002629408118773,0.0024151618710385398,0.0022396946386384685,0.0020960125857012067,0.001917492266219958,0.0017513225507214314,0.0015748304420472195,0.0014271748442256497,0.0012766062650149423,0.0011444514283384254,0.0010296021662001748,0.0009415447282188986,0.000871453342478016
