candidate,label,file,bin_index,qT,data,prediction,ratio,error_data,error_total,error_data_ratio,error_total_ratio,chi2dN_file,N_file
reduced_lambda4_zero,"Reduced loggauss, lambda4=0",ATLAS_7\ATLAS7-00y10.csv,0,1.0,0.02861,0.028371358210495138,0.9916587979900433,0.00017678800864312036,0.00045452888973468095,0.006179238330762683,0.01588706360484729,0.7019942853764745,6
reduced_lambda4_zero,"Reduced loggauss, lambda4=0",ATLAS_7\ATLAS7-00y10.csv,1,3.0,0.05874,0.05822331413927259,0.9912038498343989,0.00030223997088406427,0.000517795072462729,0.005145385953082469,0.008815033579549353,0.7019942853764745,6
reduced_lambda4_zero,"Reduced loggauss, lambda4=0",ATLAS_7\ATLAS7-00y10.csv,2,5.0,0.05834,0.05815289349730292,0.9967928264878799,0.0002784385030846129,0.00028537334947195344,0.004772686031618322,0.004891555527458921,0.7019942853764745,6
reduced_lambda4_zero,"Reduced loggauss, lambda4=0",ATLAS_7\ATLAS7-00y10.csv,3,7.0,0.04972,0.0498292200819873,1.0021967031775403,0.00023892048886606606,0.00032326877899578675,0.004805319566895939,0.006501785579159026,0.7019942853764745,6
reduced_lambda4_zero,"Reduced loggauss, lambda4=0",ATLAS_7\ATLAS7-00y10.csv,4,9.0,0.04106,0.04146905309928567,1.0099623258471913,0.00020646065000382035,0.0003505600449454767,0.005028267170088172,0.008537750729310198,0.7019942853764745,6
reduced_lambda4_zero,"Reduced loggauss, lambda4=0",ATLAS_7\ATLAS7-00y10.csv,5,11.0,0.03385,0.03427416097165633,1.012530604775667,0.00018081205712009362,0.0003818662216911205,0.0053415674186142875,0.011281129148925274,0.7019942853764745,6
reduced_lambda4_zero,"Reduced loggauss, lambda4=0",ATLAS_7\ATLAS7-10y20.csv,0,1.0,0.02781,0.027574046964846225,0.9915155327165129,0.00020490729611216872,0.000444001935283071,0.007368115645888842,0.01596554963261672,3.317105133976457,6
reduced_lambda4_zero,"Reduced loggauss, lambda4=0",ATLAS_7\ATLAS7-10y20.csv,1,3.0,0.05802,0.05703398283179945,0.9830055641468365,0.00033924327554131413,0.0005088797330332987,0.005847005783200864,0.008770764099160612,3.317105133976457,6
reduced_lambda4_zero,"Reduced loggauss, lambda4=0",ATLAS_7\ATLAS7-10y20.csv,2,5.0,0.05782,0.05730097795924726,0.9910234859779878,0.00030981607446999905,0.000328927124502594,0.005358285618644051,0.005688812253590349,3.317105133976457,6
reduced_lambda4_zero,"Reduced loggauss, lambda4=0",ATLAS_7\ATLAS7-10y20.csv,3,7.0,0.04868,0.04940991901274984,1.0149942278707855,0.0002643520380099234,0.0003317505814833793,0.005430403410228501,0.00681492566728388,3.317105133976457,6
