,lambda1,lambda3,lambda4,amp,BNP,c0,c1
lambda1,1.0,-0.741626283717118,0.5878610786657619,-0.21489505620297597,0.08149169925699815,-0.330295356092798,0.44192182528826485
lambda3,-0.7416262837171179,1.0,-0.3468825856599626,0.31894935562708515,-0.37205610801383115,0.04607764904235657,-0.38874619665667864
lambda4,0.5878610786657615,-0.34688258565996244,1.0,0.10372720376600965,-0.09262798907613252,0.230484409813731,0.09971993062069755
amp,-0.2148950562029761,0.3189493556270853,0.10372720376600969,1.0,0.021306834385623738,-0.13054527440804853,0.01705560020421224
BNP,0.08149169925699819,-0.37205610801383115,-0.09262798907613243,0.02130683438562379,1.0,-0.18759964928452227,-0.05406778051117573
c0,-0.3302953560927986,0.04607764904235697,0.23048440981373033,-0.13054527440804853,-0.18759964928452216,1.0,0.013092511889263393
c1,0.44192182528826474,-0.38874619665667864,0.09971993062069759,0.01705560020421257,-0.054067780511175646,0.013092511889263393,1.0
