0,1,2,3,4,5,6,7,8
1.0764489514749295e-06,1.0188159333894623e-06,9.122698657251593e-07,7.722890376882896e-07,6.172883047348793e-07,4.646574574127293e-07,3.28314052312917e-07,2.1553725830371797e-07,1.289551046917074e-07
1.0188159333894623e-06,9.642721740803376e-07,8.634370580076583e-07,7.309589524613829e-07,5.842652772664541e-07,4.39813484364807e-07,3.1077445493218256e-07,2.0403806201140358e-07,1.2209143754422987e-07
9.122698657251593e-07,8.634370580076583e-07,7.731594872212782e-07,6.545512981339314e-07,5.232145051658186e-07,3.938830030561203e-07,2.783473638190545e-07,1.8277774961490472e-07,1.0940082429931168e-07
7.722890376882896e-07,7.309589524613829e-07,6.545512981339314e-07,5.541646704644789e-07,4.4300300581445794e-07,3.335359079767412e-07,2.3574064513936405e-07,1.5484177534478763e-07,9.27237769266678e-08
6.172883047348793e-07,5.842652772664541e-07,5.232145051658186e-07,4.4300300581445794e-07,3.541796213416155e-07,2.667069624058695e-07,1.885547166090818e-07,1.2390029689287798e-07,7.42493194020041e-08
4.646574574127293e-07,4.39813484364807e-07,3.938830030561203e-07,3.335359079767412e-07,2.667069624058695e-07,2.0089047845031292e-07,1.4207965063790383e-07,9.34206583511247e-08,5.604610606589028e-08
3.28314052312917e-07,3.1077445493218256e-07,2.783473638190545e-07,2.3574064513936405e-07,1.885547166090818e-07,1.4207965063790383e-07,1.0054392073306398e-07,6.617225046397355e-08,3.976413453751927e-08
2.1553725830371797e-07,2.0403806201140358e-07,1.8277774961490472e-07,1.5484177534478763e-07,1.2390029689287798e-07,9.34206583511247e-08,6.617225046397355e-08,4.361744324129948e-08,2.6280271576639296e-08
1.289551046917074e-07,1.2209143754422987e-07,1.0940082429931168e-07,9.27237769266678e-08,7.42493194020041e-08,5.604610606589028e-08,3.976413453751927e-08,2.6280271576639296e-08,1.590717869645841e-08
