0,1,2,3,4,5,6,7,8
1.2666689792174887e-06,1.1973609578313363e-06,1.0549598138951212e-06,8.607033686596961e-07,6.590085161489312e-07,4.679179331330254e-07,2.861441814935514e-07,1.3818955336790271e-07,3.563163513573433e-08
1.1973609578313363e-06,1.1320806680487227e-06,9.976456855659074e-07,8.141865774661901e-07,6.237367337768803e-07,4.4334015829300806e-07,2.716547954954267e-07,1.3181904375390638e-07,3.486828046411297e-08
1.0549598138951212e-06,9.976456855659074e-07,8.797280579127259e-07,7.183551024281436e-07,5.508693442892283e-07,3.92346443644702e-07,2.4131865921684356e-07,1.1816388419797319e-07,3.274858854528848e-08
8.607033686596961e-07,8.141865774661901e-07,7.183551024281436e-07,5.874541388575392e-07,4.5088924308735693e-07,3.218821411489913e-07,1.988544165218614e-07,9.84606035020745e-08,2.873616208250597e-08
6.590085161489312e-07,6.237367337768803e-07,5.508693442892283e-07,4.5088924308735693e-07,3.472741525892012e-07,2.4927798190813663e-07,1.555172292178097e-07,7.875030500327088e-08,2.5403755222438854e-08
4.679179331330254e-07,4.4334015829300806e-07,3.92346443644702e-07,3.218821411489913e-07,2.4927798190813663e-07,1.8082344484786982e-07,1.1481299184400138e-07,6.045414407064996e-08,2.2607573040704002e-08
2.861441814935514e-07,2.716547954954267e-07,2.4131865921684356e-07,1.988544165218614e-07,1.555172292178097e-07,1.1481299184400138e-07,7.507815708274124e-08,4.199630766338911e-08,1.8880988899177012e-08
1.3818955336790271e-07,1.3181904375390638e-07,1.1816388419797319e-07,9.84606035020745e-08,7.875030500327088e-08,6.045414407064996e-08,4.199630766338911e-08,2.622167860944619e-08,1.5086063368237185e-08
3.563163513573433e-08,3.486828046411297e-08,3.274858854528848e-08,2.873616208250597e-08,2.5403755222438854e-08,2.2607573040704002e-08,1.8880988899177012e-08,1.5086063368237185e-08,1.2270982459318421e-08
