candidate,label,file,bin_index,qT,data,prediction,ratio,error_data,error_total,error_data_ratio,error_total_ratio,chi2dN_file,N_file
powerseed_full,Powerseed,ATLAS_7\ATLAS7-00y10.csv,0,1.0,0.02861,0.028232523207199173,0.9868061239845919,0.00017678800864312036,0.00045452888973468095,0.006179238330762683,0.01588706360484729,0.45344456960863916,6
powerseed_full,Powerseed,ATLAS_7\ATLAS7-00y10.csv,1,3.0,0.05874,0.058190540657809105,0.9906459083726439,0.00030223997088406427,0.000517795072462729,0.005145385953082469,0.008815033579549353,0.45344456960863916,6
powerseed_full,Powerseed,ATLAS_7\ATLAS7-00y10.csv,2,5.0,0.05834,0.058237833465592886,0.9982487738360111,0.0002784385030846129,0.00028537334947195344,0.004772686031618322,0.004891555527458921,0.45344456960863916,6
powerseed_full,Powerseed,ATLAS_7\ATLAS7-00y10.csv,3,7.0,0.04972,0.049883833000287155,1.0032951126365075,0.00023892048886606606,0.00032326877899578675,0.004805319566895939,0.006501785579159026,0.45344456960863916,6
powerseed_full,Powerseed,ATLAS_7\ATLAS7-00y10.csv,4,9.0,0.04106,0.041492865747009215,1.0105422734293525,0.00020646065000382035,0.0003505600449454767,0.005028267170088172,0.008537750729310198,0.45344456960863916,6
powerseed_full,Powerseed,ATLAS_7\ATLAS7-00y10.csv,5,11.0,0.03385,0.0342824039221024,1.0127741188213413,0.00018081205712009362,0.0003818662216911205,0.0053415674186142875,0.011281129148925274,0.45344456960863916,6
powerseed_full,Powerseed,ATLAS_7\ATLAS7-10y20.csv,0,1.0,0.02781,0.027790728672075864,0.9993070360329329,0.00020490729611216872,0.000444001935283071,0.007368115645888842,0.01596554963261672,3.245569459820399,6
powerseed_full,Powerseed,ATLAS_7\ATLAS7-10y20.csv,1,3.0,0.05802,0.057180961549337564,0.9855388064346357,0.00033924327554131413,0.0005088797330332987,0.005847005783200864,0.008770764099160612,3.245569459820399,6
powerseed_full,Powerseed,ATLAS_7\ATLAS7-10y20.csv,2,5.0,0.05782,0.05724553413399584,0.9900645820476623,0.00030981607446999905,0.000328927124502594,0.005358285618644051,0.005688812253590349,3.245569459820399,6
powerseed_full,Powerseed,ATLAS_7\ATLAS7-10y20.csv,3,7.0,0.04868,0.04929911433262642,1.0127180429873957,0.0002643520380099234,0.0003317505814833793,0.005430403410228501,0.00681492566728388,3.245569459820399,6
powerseed_full,Powerseed,ATLAS_7\ATLAS7-10y20.csv,4,9.0,0.04047,0.04107705463714816,1.0150001145823613,0.00022205855083738614,0.00034103776589640054,0.005486991619406626,0.008426927746389931,3.245569459820399,6
powerseed_full,Powerseed,ATLAS_7\ATLAS7-10y20.csv,5,11.0,0.03381,0.034016606674816145,1.0061108155816665,0.0001952280717519896,0.0003570026202690625,0.005774270090268844,0.01055908371100451,3.245569459820399,6
powerseed_full,Powerseed,ATLAS_7\ATLAS7-20y24.csv,0,1.0,0.0271,0.02816006576021058,1.0391168177199477,0.0004645869132896449,0.0006732678011859253,0.017143428534673242,0.024843830302063663,1.3423241693004468,6
powerseed_full,Powerseed,ATLAS_7\ATLAS7-20y24.csv,1,3.0,0.0568,0.056416504054629044,0.9932483108209338,0.0006450186043828503,0.0007532546713607318,0.011355961344768491,0.013261525904238236,1.3423241693004468,6
powerseed_full,Powerseed,ATLAS_7\ATLAS7-20y24.csv,2,5.0,0.0564,0.05533119651756164,0.98104958364471,0.0006020373742551205,0.000632828740692015,0.010674421529346109,0.011220367742766224,1.3423241693004468,6
powerseed_full,Powerseed,ATLAS_7\ATLAS7-20y24.csv,3,7.0,0.0471,0.04744698361365317,1.007366955703889,0.000527175492601847,0.000573751524459231,0.011192685617873607,0.012181561028858406,1.3423241693004468,6
powerseed_full,Powerseed,ATLAS_7\ATLAS7-20y24.csv,4,9.0,0.0395,0.039301039499027066,0.9949630252918245,0.00045592652916890016,0.0005251690174366579,0.011542443776427852,0.013295418162953366,1.3423241693004468,6
powerseed_full,Powerseed,ATLAS_7\ATLAS7-20y24.csv,5,11.0,0.0322,0.03244421055491851,1.0075841787241773,0.00041346100178856046,0.0005013781698317072,0.01284040378225343,0.015570750615891528,1.3423241693004468,6
powerseed_full,Powerseed,ATLAS_8\ATLAS8-00y04.csv,0,1.0,3.257,3.2302513122558594,0.9917873233822104,0.09650837798864874,0.1573377662673549,0.029631064780057947,0.04830757330898216,2.7562669434755516,6
powerseed_full,Powerseed,ATLAS_8\ATLAS8-00y04.csv,1,3.0,6.708,6.670876502990723,0.994465787565701,0.19267263116488548,0.2898168475187069,0.02872281323269014,0.04320465824667664,2.7562669434755516,6
powerseed_full,Powerseed,ATLAS_8\ATLAS8-00y04.csv,2,5.0,6.714,6.736881256103516,1.0034079916746375,0.1928449680442816,0.2630940564956666,0.02872281323269014,0.03918588866482969,2.7562669434755516,6
powerseed_full,Powerseed,ATLAS_8\ATLAS8-00y04.csv,3,7.0,5.886,5.827158451080322,0.9900031347401159,0.16906247868761418,0.21583359718205133,0.02872281323269014,0.036668976755360405,2.7562669434755516,6
powerseed_full,Powerseed,ATLAS_8\ATLAS8-00y04.csv,4,9.0,4.926,4.889629364013672,0.9926165984599414,0.14191668358582757,0.17460329512486872,0.028809720581775795,0.03544524870581987,2.7562669434755516,6
powerseed_full,Powerseed,ATLAS_8\ATLAS8-00y04.csv,5,11.5,3.919,3.909882068634033,0.9976734035810241,0.11256470505891268,0.133771039921517,0.028722813232690145,0.034133972932257464,2.7562669434755516,6
