qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,xf_mean,xf_min,xf_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 
True,0.125,0.0,0.25,True,11.5,11.0,12.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0868,0.0294,0.1
True,0.375,0.25,0.5,True,11.5,11.0,12.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0916,0.0169,0.1
True,0.625,0.5,0.75,True,11.5,11.0,12.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0378,0.00769,0.1
True,0.875,0.75,1.0,True,11.5,11.0,12.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0373,0.00644,0.1
True,1.125,1.0,1.25,True,11.5,11.0,12.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0359,0.00541,0.1
True,1.375,1.25,1.5,True,11.5,11.0,12.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0155,0.00342,0.1
True,1.625,1.5,1.75,True,11.5,11.0,12.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0111,0.0025,0.1
True,1.875,1.75,2.0,True,11.5,11.0,12.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00945,0.00246,0.1
True,2.125,2.0,2.25,True,11.5,11.0,12.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00506,0.00158,0.1
True,2.375,2.25,2.5,True,11.5,11.0,12.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00172,0.000821,0.1
True,2.625,2.5,2.75,True,11.5,11.0,12.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.00145,0.000876,0.1
