qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,xf_mean,xf_min,xf_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 
True,0.125,0.0,0.25,True,6.5,6.0,7.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,2.87,0.153,0.1
True,0.375,0.25,0.5,True,6.5,6.0,7.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,2.28,0.0765,0.1
True,0.625,0.5,0.75,True,6.5,6.0,7.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,2.08,0.0625,0.1
True,0.875,0.75,1.0,True,6.5,6.0,7.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,1.35,0.0413,0.1
True,1.125,1.0,1.25,True,6.5,6.0,7.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,1.05,0.0356,0.1
True,1.375,1.25,1.5,True,6.5,6.0,7.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.669,0.0275,0.1
True,1.625,1.5,1.75,True,6.5,6.0,7.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.397,0.0203,0.1
True,1.875,1.75,2.0,True,6.5,6.0,7.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.262,0.0172,0.1
True,2.125,2.0,2.25,True,6.5,6.0,7.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.213,0.0202,0.1
True,2.375,2.25,2.5,True,6.5,6.0,7.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.117,0.015,0.1
True,2.625,2.5,2.75,True,6.5,6.0,7.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0979,0.0215,0.1
True,2.875,2.75,3.0,True,6.5,6.0,7.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0376,0.00908,0.1
True,3.125,3.0,3.25,True,6.5,6.0,7.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0229,0.00789,0.1
True,3.375,3.25,3.5,True,6.5,6.0,7.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0345,0.0425,0.1
True,3.625,3.5,3.75,True,6.5,6.0,7.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.0106,0.00886,0.1
True,3.875,3.75,4.0,True,6.5,6.0,7.0,True,0.2,0.1,0.3,38.76,0.5,E*dσ/d3q(xf),False,0.0,0.0,-1000.0,1000.0,0.000501,0.000432,0.1
