candidate,fit_name,chi2dN_total,chi2dN_collider,chi2dN_fixed_target,highE_mean_absdev_first3,highE_mean_shortfall_first3,delta_total_vs_best,delta_absdev_vs_best,delta_shortfall_vs_best,fit_evals,fit_flag,lambda1,lambda2,lambda3,lambda4,alpha,logx0,sigx,amp,BNP,c0,c1
broad_bump_42_alpha1_lambda2_zero,BroadBump42LogGaussAlpha1NoLambda2,0.9888852059884288,0.9176840504567598,1.0848988854174975,0.052317695024809346,0.009853276646842428,-0.0012271236637091398,0.0004294473820515149,0.00019730790533942742,3333,0,0.9807006579928946,0.0,-1.9663570209785988,0.037254588493350504,1.0,-5.046900927467999,0.8384322340748089,-0.3608064939964999,1.4346974555028833,0.07211146779301236,0.026755038323681632
broad_bump_42_alpha1_lambda2_lambda4_zero,BroadBump42LogGaussAlpha1NoLambda2NoLambda4,0.9891278440891169,0.9158525651263506,1.0879384475389071,0.05415682533101826,0.011645157764132951,-0.000984485563020998,0.0022685776882604286,0.0019891890226299506,3336,0,0.9047569677350991,0.0,-1.943614362566688,0.0,1.0,-5.289871667106348,1.0407279789367103,-0.4654323825688129,1.4655525506653406,0.07094639589925875,0.02646625823369877
broad_bump_42_alpha1_best,BroadBump42LogGaussAlpha1Best,0.9901123296521379,0.919988863156838,1.0846727617442846,0.05188824764275783,0.009655968741503,0.0,0.0,0.0,3041,0,,,,,,,,,,,
