model,label,table_name,n,m,initial_chi2dN_total,chi2dN_total,highE_mean_absdev_first3,highE_mean_shortfall_first3,cms_highmass_mean_signed_first3,zlike_mean_signed_first3,fit_evals,fit_elapsed_s,stage1_starts,stage2_refines,stage3_refines,ref_chi2dN_total,ref_highE_mean_absdev_first3,ref_highE_mean_shortfall_first3,delta_chi2_vs_ref,delta_absdev_vs_ref,delta_shortfall_vs_ref
poly_bstar_cslog,Poly-x bstar + CSlog,MSHT20N3LO-MC-0-2,0,2,0.8346245613899559,0.8341882097822609,0.05266553880954807,0.01248083877394958,0.09968864189763345,-0.020285992495674112,2881,271.1607192999945,21,4,2,0.8346279392568189,0.052820581068008354,0.012534828701889222,-0.0004397294745579483,-0.00015504225846028202,-5.398992793964087e-05
poly_bstar_cslog,Poly-x bstar + CSlog,MSHT20N3LO-MC-4-2,4,2,1.0629972110028931,1.0293543989047402,0.05193786796945229,0.010809785975943035,0.10206409456222414,-0.017512236345539063,2960,272.3476711999974,21,4,2,1.0629984201091947,0.05139288167526254,0.010169358314130484,-0.03364402120445442,0.0005449862941897463,0.0006404276618125516
poly_bstar_cslog,Poly-x bstar + CSlog,MSHT20N3LO-MC-freeze,0,-1,1.0756348659793344,1.0700828335177044,0.05295002042928676,0.011884554101913499,0.10163444290181863,-0.019121441558779484,2878,266.93904720000137,21,4,2,1.0756332786950011,0.05285515970128223,0.01150112201267479,-0.005550445177296748,9.486072800452688e-05,0.00038343208923870796
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,MSHT20N3LO-MC-0-2,0,2,0.8221249021388973,0.8217034194204202,0.051051082894620035,0.01046831364661498,0.1010566295233963,-0.017180327013280736,2933,278.1123016999991,21,4,2,0.8221223758409011,0.051245211915544917,0.010761681199084598,-0.0004189564204808427,-0.0001941290209248811,-0.0002933675524696179
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,MSHT20N3LO-MC-4-2,4,2,1.0086316025692468,0.995535564998642,0.052740889676148955,0.00949965974368195,0.10764146615959602,-0.015525027125088927,2960,276.795480599998,21,4,2,1.008633347076392,0.05243820765888248,0.009748844236052105,-0.01309778207774992,0.0003026820172664785,-0.0002491844923701546
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,MSHT20N3LO-MC-freeze,0,-1,1.5235111720361378,1.044560440033563,0.05286299804704153,0.010307196563298838,0.10541003122904265,-0.016525679285288673,2960,312.3015199999936,21,4,2,0.822162734852905,0.05122019616532778,0.01073703316830575,0.22239770518065805,0.00164280188171375,-0.00042983660500691204
reduced_loggauss_powerseed,Reduced loggauss powerseed,MSHT20N3LO-MC-0-2,0,2,0.8262304715826515,0.8258839248996335,0.05166667134420755,0.010490532406808365,0.10239315797850457,-0.01711942776801835,2902,277.37747330000275,21,4,2,0.8262324197402973,0.05143438742616864,0.01044630898550388,-0.0003484948406637933,0.00023228391803890858,4.4223421304485575e-05
reduced_loggauss_powerseed,Reduced loggauss powerseed,MSHT20N3LO-MC-4-2,4,2,1.493964872926941,1.0483301543469212,0.05609537614434817,0.011129509338815994,0.11179214769960648,-0.01813416935521068,2947,373.62112499999785,21,4,2,0.8262324197402973,0.05143438742616864,0.01044630898550388,0.22209773460662396,0.004660988718179528,0.0006832003533121141
reduced_loggauss_powerseed,Reduced loggauss powerseed,MSHT20N3LO-MC-freeze,0,-1,1.0966943441559214,1.0909038963801745,0.053982680798662704,0.010505787124912354,0.10786484202896977,-0.016958050437916525,2925,325.85004219999973,21,4,2,1.096692218408004,0.05359665466463351,0.010485606656997744,-0.005788322027829418,0.0003860261340291951,2.0180467914609687e-05
