model,label,test,fixed_map,chi2dN_total,chi2_total,highE_mean_absdev_first3,highE_mean_shortfall_first3,delta_chi2dN,delta_chi2_total,delta_absdev,delta_shortfall,fit_evals,fit_elapsed_s
broad_bump_42_fixed_gauss_basis_corrected,BroadBump42FixedGaussBasisBest corrected,c0_zero,"{""c0"": 0.0}",1.4802201739428393,688.3023808834203,0.06471584909111051,0.014284886137292263,0.46704578231295923,217.17628877552605,0.01260524192061576,0.005168716952945577,180,14.000835199999983
broad_bump_42_fixed_gauss_basis_corrected,BroadBump42FixedGaussBasisBest corrected,c1_zero,"{""c1"": 0.0}",1.181025529761214,549.1768713389645,0.051701117612596735,0.018312111041411304,0.1678511381313339,78.05077923107027,-0.00040948955789801844,0.009195941857064618,180,14.23656690000007
broad_bump_42_fixed_gauss_basis_corrected,BroadBump42FixedGaussBasisBest corrected,lambda1_zero,"{""lambda1"": 0.0}",1.1005784975420059,511.7690013570327,0.054076730772068045,0.011946026893655743,0.08740410591212577,40.642909249138484,0.0019661236015732914,0.0028298577093090575,180,13.844418700000006
broad_bump_42_fixed_gauss_basis_corrected,BroadBump42FixedGaussBasisBest corrected,lambda3_zero,"{""lambda3"": 0.0}",1.0893289192521456,506.5379474522477,0.05557036203598078,0.011322599336607864,0.07615452762226549,35.411855344353455,0.0034597548654860255,0.002206430152261178,180,14.064098899999863
broad_bump_42_fixed_gauss_basis_corrected,BroadBump42FixedGaussBasisBest corrected,lambda4_zero,"{""lambda4"": 0.0}",1.0290777521111918,478.5211547317042,0.05537912459199934,0.010513242259968266,0.01590336048131169,7.395062623809936,0.0032685174215045867,0.0013970730756215806,180,14.23262620000014
