param_i,param_j,corr,abs_corr
lambda1,lambda4,0.6809853639899599,0.6809853639899599
lambda1,lambda3,-0.6341912683221524,0.6341912683221524
lambda3,lambda4,-0.3957898489385357,0.3957898489385357
lambda1,c0,-0.3654711395125196,0.3654711395125196
amp,c0,-0.2912883528707099,0.2912883528707099
lambda3,amp,0.24758944170658134,0.24758944170658134
BNP,c1,-0.22278619394832416,0.22278619394832416
lambda1,c1,0.21725997914801337,0.21725997914801337
lambda4,BNP,-0.15737897749521582,0.15737897749521582
lambda3,BNP,-0.154546002562406,0.154546002562406
lambda1,BNP,-0.14168797862885868,0.14168797862885868
lambda4,amp,0.13627732275300602,0.13627732275300602
amp,c1,0.12108803622391823,0.12108803622391823
lambda3,c1,-0.1145069481936907,0.1145069481936907
lambda3,c0,-0.0739049487604077,0.0739049487604077
lambda4,c0,0.07344282149517602,0.07344282149517602
