,lambda1,lambda3,lambda4,amp,BNP,c0,c1
lambda1,1.0,-0.6341912683221524,0.6809853639899599,-0.05108412674648897,-0.14168797862885868,-0.3654711395125196,0.21725997914801337
lambda3,-0.6341912683221527,1.0,-0.3957898489385357,0.24758944170658134,-0.154546002562406,-0.0739049487604077,-0.1145069481936907
lambda4,0.6809853639899596,-0.3957898489385353,1.0,0.13627732275300602,-0.15737897749521582,0.07344282149517602,-0.024754313633255042
amp,-0.05108412674648911,0.2475894417065814,0.13627732275300583,1.0,-0.0021477043625688207,-0.2912883528707099,0.12108803622391823
BNP,-0.14168797862885843,-0.15454600256240628,-0.1573789774952156,-0.002147704362568854,1.0,-0.023394431858819294,-0.22278619394832416
c0,-0.3654711395125196,-0.07390494876040772,0.07344282149517611,-0.29128835287070987,-0.023394431858819408,1.0,0.032287003315456864
c1,0.21725997914801373,-0.11450694819369077,-0.024754313633254883,0.12108803622391834,-0.22278619394832427,0.03228700331545663,1.0
