,lambda1,lambda3,lambda4,logx0,sigx,amp,BNP,c0,c1
lambda1,1.0,-0.9698408119183382,0.27806776472476136,0.49002001902268344,0.704708396574194,-0.9112206993321277,0.844755529521427,-0.7949752210251082,0.23285419996203732
lambda3,-0.969840811918338,1.0,-0.19237937764492202,-0.46419934510151717,-0.6879269169849994,0.9287514147663368,-0.9059891841443767,0.7324170345221556,-0.2025049371669503
lambda4,0.278067764724761,-0.1923793776449216,1.0,0.08481741033989268,-0.04952194883439601,-0.10096721470534364,0.10432167764815058,0.04742999424072476,-0.1684093116930522
logx0,0.4900200190226836,-0.46419934510151745,0.0848174103398931,1.0,0.5174568786831023,-0.3776222225994461,0.3816785274675728,-0.4132258577820237,0.24265147036310974
sigx,0.7047083965741945,-0.6879269169850001,-0.049521948834395556,0.5174568786831026,1.0,-0.6118488933328979,0.6329371782705746,-0.6852113921336089,0.24341483853292706
amp,-0.9112206993321272,0.9287514147663364,-0.10096721470534398,-0.37762222259944583,-0.6118488933328974,1.0,-0.8109011951510412,0.638099861720104,-0.17295929409188684
BNP,0.8447555295214269,-0.9059891841443769,0.10432167764815095,0.38167852746757286,0.6329371782705743,-0.8109011951510418,1.0,-0.7033653080552178,0.03935774795010803
c0,-0.7949752210251091,0.7324170345221566,0.04742999424072433,-0.41322585778202403,-0.6852113921336092,0.6380998617201052,-0.7033653080552185,1.0,-0.16122440011372866
c1,0.23285419996203754,-0.20250493716695056,-0.16840931169305198,0.24265147036310977,0.243414838532927,-0.17295929409188718,0.039357747950108116,-0.16122440011372846,1.0
