model,best_chi2_table,best_chi2dN_total,best_absdev_table,best_absdev,best_shortfall_table,best_shortfall
baseline_unfrozen,MSHT20N3LO-MC-0-2,0.8338602592600489,MSHT20N3LO-MC-0-2,0.05491393282822032,MSHT20N3LO-MC-0-2,0.020045415259609588
poly_bstar_cslog,MSHT20N3LO-MC-0-2,0.8347311275245866,MSHT20N3LO-MC-power-leptonic,0.0528232943457291,MSHT20N3LO-MC-power-leptonic,0.012445382411318621
poly_bstar_cslog_loggauss,MSHT20N3LO-MC-0-2,0.8221157337202675,MSHT20N3LO-MC-0-2,0.05124336327004098,MSHT20N3LO-MC-power-leptonic,0.010588356189219569
