table_name,chi2dN_total,highE_mean_absdev_first3,highE_mean_shortfall_first3
MSHT20N3LO-MC-0-2,0.8302357068349676,0.052997070193954256,0.014493241814578872
MSHT20N3LO-MC-power-leptonic,0.8322134691719499,0.05301714871773177,0.014364232879022198
MSHT20N3LO-MC-power-full,0.8641425217761292,0.054104925256064695,0.017209569948625353
MSHT20N3LO-MC-power-x,0.8654948104789423,0.05450397984275022,0.01772144864441432
