model,label,table_name,table_tag,n,m,initial_chi2dN_total,chi2dN_total,chi2dN_collider,chi2dN_fixed_target,highE_weighted_chi2dN,highE_mean_absdev_first3,highE_mean_shortfall_first3,cms_highmass_mean_signed_first3,zlike_mean_signed_first3,delta_chi2_vs_initial,delta_absdev_vs_initial,fit_evals,fit_elapsed_s,delta_total_vs_0_2,delta_absdev_vs_0_2,delta_shortfall_vs_0_2
baseline_unfrozen,0112 baseline,MSHT20N3LO-MC-0-2,baseline,0,2,0.8351758567841131,0.8338602592600489,1.011209533893427,0.59470744952716,1.6276689938860134,0.05491393282822032,0.020045415259609588,0.08717129392152682,-0.03340902543268265,-0.0013155975240641826,-0.0001048621421232826,810,66.49873940000543,0.0,0.0,0.0
baseline_unfrozen,0112 baseline,MSHT20N3LO-MC-power-leptonic,power_leptonic,0,2,0.8387322234872996,0.8375623816063331,1.0142406804350015,0.5993143725797955,1.6227055791577123,0.05498410892037754,0.020058960036528406,0.08731287220962285,-0.033431600060880674,-0.0011698418809664712,-3.468695411933814e-05,810,66.5554306999984,0.003702122346284198,7.017609215722448e-05,1.3544776918818224e-05
baseline_unfrozen,0112 baseline,MSHT20N3LO-MC-power-full,power_full,0,2,0.8774112322924896,0.8397259071869587,1.0428082361717468,0.565872463555957,1.4836570357083194,0.05655125347426481,0.020537153286306904,0.09003525046989476,-0.03422858881051151,-0.03768532510553091,0.0004969204978517994,810,66.30850290000672,0.0058656479269098005,0.0016373206460444933,0.0004917380266973165
baseline_unfrozen,0112 baseline,MSHT20N3LO-MC-power-x,power_x,0,2,0.8855650833161203,0.8406239547994896,1.0476811867184912,0.5614104147875029,1.4784623754421207,0.05660883615368829,0.02064443279013374,0.08991100840888637,-0.034407387983556234,-0.04494112851663068,0.0005544994183278931,810,66.21944319999602,0.006763695539440673,0.0016949033254679696,0.0005990175305241527
poly_bstar_cslog,Poly-x bstar + CSlog,MSHT20N3LO-MC-power-leptonic,power_leptonic,0,2,0.8370156235390925,0.8362493861860939,0.8922821401967902,0.7606900663837912,1.5045093421665061,0.0528232943457291,0.012445382411318621,0.10012144773288068,-0.02019341595010069,-0.0007662373529986333,5.7597542219324505e-05,626,50.99287500001083,0.0015182586615073435,-1.0620137872389968e-05,-0.00024901874664048744
poly_bstar_cslog,Poly-x bstar + CSlog,MSHT20N3LO-MC-0-2,baseline,0,2,0.8355868217506134,0.8347311275245866,0.8985717072254539,0.7486430730794783,1.4965020348444333,0.05283391448360149,0.012694401157959109,0.09958377155349012,-0.020647327422854626,-0.0008556942260268263,6.822519131604449e-05,623,50.70863159999135,0.0,0.0,0.0
poly_bstar_cslog,Poly-x bstar + CSlog,MSHT20N3LO-MC-power-full,power_full,0,2,0.9894305095340428,0.8782505517992764,1.0294597743398592,0.6743472062521261,1.4005320694715568,0.05388725112321635,0.016797733661843516,0.09272379365343209,-0.027996222769739194,-0.11117995773476641,0.0006281935015513621,630,51.59912830000394,0.0435194242746898,0.001053336639614863,0.004103332503884408
poly_bstar_cslog,Poly-x bstar + CSlog,MSHT20N3LO-MC-power-x,power_x,0,2,1.0006348689994429,0.8761349070658827,1.0303367765624682,0.6681960224416996,1.3675548993889126,0.054051714211574925,0.01745387131234807,0.09149460724806713,-0.02908978552058012,-0.12449996193356017,0.0007927216756402969,630,51.58809800000745,0.04140377954129615,0.001217799727973437,0.004759470154388962
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,MSHT20N3LO-MC-0-2,baseline,0,2,0.8221648854802757,0.8221157337202675,0.8804395360844968,0.7434669699260792,1.3715322878333398,0.05124336327004098,0.01073990902616792,0.1008781806357738,-0.01764621172767396,-4.9151760008192547e-05,2.318163308356186e-05,630,51.738401099995826,0.0,0.0,0.0
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,MSHT20N3LO-MC-power-leptonic,power_leptonic,0,2,0.8237047314179942,0.8228286397234227,0.8722888828510991,0.7561322512633744,1.3760196591263805,0.051244042887088656,0.010588356189219569,0.1012278793324322,-0.01737303537387226,-0.0008760916945714792,2.3876811719884816e-05,630,51.99219699999958,0.0007129060031552115,6.79617047673331e-07,-0.00015155283694835014
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,MSHT20N3LO-MC-power-full,power_full,0,2,0.9561391045833171,0.8744511063421522,1.020135932718196,0.6779973253199122,1.2698100179069767,0.05187627117071293,0.014293822897725635,0.09395612068246824,-0.023823038162876058,-0.0816879982411649,-9.140297843091699e-05,630,52.19137880000926,0.0523353726218847,0.0006329079006719487,0.0035539138715577154
poly_bstar_cslog_loggauss,Poly-x bstar + CSlog + loggauss,MSHT20N3LO-MC-power-x,power_x,0,2,0.9669145033386112,0.8797255695714544,1.0345344205437277,0.6709681796239944,1.2890173024967204,0.05285138916298744,0.015066041830761153,0.09446336833056572,-0.025110069717935255,-0.08718893376715675,0.0008837154685146439,630,51.6308762000117,0.05760983585118695,0.0016080258929464589,0.004326132804593234
