mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10,mode_11,mode_12,mode_13,mode_14,mode_15,mode_16,mode_17,mode_18,mode_19,mode_20,mode_21,mode_22,mode_23,mode_24,mode_25,mode_26,mode_27,mode_28,mode_29,mode_30,mode_31,mode_32,mode_33,mode_34,mode_35,mode_36,mode_37,mode_38,mode_39,mode_40,mode_41,mode_42,mode_43,mode_44,mode_45,mode_46,mode_47,mode_48,mode_49,mode_50,mode_51,mode_52,mode_53,mode_54,mode_55,mode_56,mode_57,mode_58,mode_59,mode_60,mode_61,mode_62,mode_63,mode_64,mode_65,mode_66,mode_67,mode_68,mode_69,mode_70,mode_71,mode_72,mode_73,mode_74,mode_75,mode_76,mode_77,mode_78,mode_79,mode_80,mode_81,mode_82,mode_83,mode_84,mode_85,mode_86,mode_87,mode_88,mode_89,mode_90,mode_91,mode_92,mode_93,mode_94,mode_95,mode_96,mode_97,mode_98,mode_99
-2.0563785032753763e-07,-1.265590902512676e-06,-6.330498873123489e-07,5.169911517057491e-07,2.4325462663135613e-07,3.657706096409401e-07,1.8820239426530073e-06,8.101392324185702e-07,8.579800153203624e-07,1.0455215307660017e-06,4.21220671673576e-07,9.915752221938946e-07,-3.189831596893948e-07,-2.25582733364292e-07,-9.181851017596598e-07,-1.2025111096962815e-06,-1.9580516756813993e-07,-8.376603532668317e-07,-4.781733393622807e-07,-5.080732151371492e-07,-6.481602349774021e-07,-4.283287122999593e-07,-1.01052745535558e-06,-3.3504803232805214e-07,-3.056972226706123e-07,-1.442307916134001e-07,9.977411675474665e-07,9.111509727432662e-07,4.16934212849371e-07,1.4123253382576408e-06,1.2138281223770786e-06,2.228712657016496e-06,-3.3847305312540105e-07,-2.8684657628118945e-07,-1.101313943972949e-06,-1.673059913549042e-06,-8.48400478145243e-07,2.69008539750615e-07,1.0345616659034555e-06,1.2726560593608623e-07,1.2854158060218043e-06,-9.273203106228201e-07,-3.0458555435279253e-07,-4.5285261486263184e-07,-3.3308379705567137e-07,2.0209307902092714e-06,2.4850281104787536e-06,-1.406449242324878e-07,-1.8994299866609103e-07,6.424874410151599e-08,7.26373732767417e-07,-3.6627862444597567e-06,3.1574473119354867e-06,-1.6084632015423467e-06,3.2097720813771786e-07,-9.092084355069744e-07,1.5518632943457933e-06,-3.8057572483672465e-07,1.5865661136642015e-06,-3.63484368518672e-06,-5.930476603160895e-06,-2.5818995148294663e-06,-4.36056677485107e-07,-1.3125278538825351e-06,5.234499972450878e-06,4.450138015179237e-06,1.3422506396323849e-06,1.4426310840965743e-06,3.6185164077658805e-06,-2.0484950133651865e-07,-3.775908927432437e-06,-1.2946633066123849e-06,-2.5284351218684574e-06,1.3614404560961346e-06,-1.2729741872965528e-06,-7.98091175572147e-08,2.800071870115411e-06,-3.0619238925011163e-06,7.651837137888207e-06,-1.647669620957659e-05,2.535652231236053e-07,-4.5711836253197945e-06,9.782177349805442e-06,-3.2339680460961994e-05,-1.8259540427175408e-05,-3.589545938433348e-05,2.4870117409595976e-05,3.3170602364510535e-05,-4.479745282694865e-05,4.1714272655581754e-05,-5.264906038326986e-06,2.4020998119230225e-06,-4.573827957208979e-05,2.2580014439269005e-05,-0.00026667865890396325,3.40447189040307e-05,-0.00010097340189684757,-7.301375868753231e-05,0.00028865575203050603
-2.821719844801034e-07,-1.3597910910100378e-06,-6.814154292277119e-07,4.845045357302595e-07,2.736904027378574e-07,4.01540476113175e-08,1.9137369389360785e-06,9.111552102942068e-07,9.565817363589733e-07,1.0947501960289997e-06,5.491374333338181e-07,8.736534894582285e-07,-1.6108622503810045e-07,9.780444239834567e-08,-7.634245464350712e-07,-1.210437621327331e-06,2.735779922564073e-08,-6.485007782526057e-07,-7.17184620982256e-07,-4.889746702194569e-07,-6.727358243749916e-07,-3.108924056949467e-07,-1.114991219835386e-06,-4.39876879345987e-07,-3.2924148649644484e-07,-9.596527124094517e-08,1.208499532545778e-06,7.436241864418304e-07,3.129819900666545e-07,1.3545297646941374e-06,1.4535372407655896e-06,2.1966884611085698e-06,-2.079476881311432e-07,-3.448975387205984e-07,-1.6714075951039364e-06,-1.8513978903202413e-06,-1.0038372017895478e-06,-2.3714770561590594e-07,1.1585965415099188e-06,-2.2094119486206448e-07,1.2936073936032535e-06,-1.6278409702131652e-06,-4.684374621109269e-07,-9.055452287929719e-08,1.920881147722416e-07,2.2734619095980947e-06,2.2817406175146894e-06,-4.23484962964795e-07,-6.076154900247376e-07,2.153454953971503e-08,6.78924400022659e-07,-4.003613031730773e-06,2.8125881042988565e-06,-1.4945717519540964e-06,2.680068918016425e-07,-1.0879350336337438e-06,1.1846739046815742e-06,-3.809321884137508e-07,1.6680435156069014e-06,-3.949514705170362e-06,-6.0017194677802775e-06,-1.1802943289797405e-06,-2.681857403055831e-07,-1.6378997256187586e-06,5.7327087445938604e-06,3.601975376689471e-06,1.0460490569364753e-06,4.2931887615561423e-07,3.7680690156683885e-06,6.788207500242224e-07,-3.472873839484677e-06,-4.796586203712575e-07,-4.340254501527328e-06,1.9150177341140746e-06,-2.249709788541211e-07,-2.0728267175988755e-08,4.575785984588072e-06,-3.7035311172743585e-06,7.037355936936227e-06,-1.20996890597379e-05,1.3958779715873922e-06,-5.047024847537355e-06,1.9926582256567622e-05,-2.5865203157007426e-05,9.181372572945932e-06,-3.427302729779613e-05,6.69389835592494e-06,4.439732183403486e-05,-2.9685954753494368e-05,3.0951170312722545e-05,-9.918677227613066e-06,1.5166891987932537e-05,-7.698973780878934e-05,1.6507998194487055e-05,-0.00023164803098092466,2.7868647011895193e-05,-9.144360672952491e-05,-9.844351736792767e-05,0.00031229062768026357
3.6052270522103854e-08,1.0678366025592632e-07,-8.256082178200525e-08,-1.6158874701329226e-07,3.072834665175946e-08,-2.476057432689776e-07,1.3540473420487705e-07,4.316002774371141e-08,1.3368785104741758e-07,-1.8568408842047582e-07,3.8720605118218636e-07,1.116114761400566e-07,2.5518515696517636e-07,-6.706406110398397e-08,1.980622685102749e-07,1.7121475573071311e-07,4.2911713977813516e-08,1.6382756029019587e-07,-2.3825111307440932e-07,1.8723107410065517e-07,-5.881358946463577e-09,1.3793579940806832e-07,-8.854550304818769e-08,1.611998409991918e-08,-2.811243096346361e-08,3.14772719447784e-07,-3.544783499393811e-08,-1.7608071288988415e-07,2.8141940687719495e-07,-7.85897112247052e-08,3.2037973266757363e-08,-3.484268621578611e-07,1.562804231393004e-07,-8.837280630165226e-08,-6.520055197194727e-07,9.717040387167876e-08,-3.2801395674551854e-08,-6.721533845642631e-07,-1.2489385438064407e-07,-9.54897459583473e-08,5.348622862334338e-08,-6.727990002852821e-07,-6.376420684791936e-09,3.874058294223985e-07,3.024690506689379e-07,3.3165692158208776e-07,-3.017343509125259e-07,-3.9810022140181703e-07,7.300536530889401e-08,-8.114958905222306e-08,6.605377140446547e-08,-5.815598501904356e-07,-9.210143042543383e-07,-1.1214133977182556e-07,-1.9953515433893854e-07,4.515655959034488e-07,-1.941343477987273e-08,-1.4736354300632287e-07,3.560502838818701e-07,2.72738604616874e-07,1.3415102945641825e-08,8.988121285577217e-07,-2.2579115879932398e-07,-4.255558413168509e-07,-2.6354879361279214e-07,-6.191079326445737e-07,-3.276849958111959e-07,-4.483140964955319e-07,-1.957926272147117e-07,6.972242837900978e-07,-1.259273329251866e-07,-3.388361272953163e-07,-2.0562695656639856e-07,7.112057462959533e-07,-1.556696937475787e-06,7.850356904589278e-07,-7.127097916493656e-08,6.484012211800432e-07,-2.845322571381809e-06,1.014127581309566e-06,2.4351795196511726e-06,7.951501914461956e-07,8.155829946557533e-06,2.3254871607461487e-07,2.174430606580543e-05,-4.718735302804309e-06,-1.4560717965017712e-05,4.866688825679659e-06,1.0990916998890743e-05,-1.1705568476974067e-05,-4.763647628006176e-06,1.1620675428375617e-05,-2.128847590116521e-05,-1.052853081841434e-05,3.058646146523607e-05,-2.222241557525089e-06,5.1071462736485945e-06,-2.1935588564206154e-05,2.2845837358898724e-05
8.428037463255262e-08,5.240214948922186e-07,4.401224220484203e-07,-2.0770515450744047e-07,1.174761226902065e-07,-1.615028686149987e-07,-7.147077664962646e-07,-4.24754973931379e-07,-8.226385441285545e-08,-2.995712673197517e-07,-4.231058357331098e-07,-2.0329812697882935e-07,-3.1935974702348994e-08,4.9476334800543186e-08,1.7501731013869386e-07,3.5670173934210366e-07,3.527204526028542e-07,2.899188237105025e-07,3.8730227157672595e-07,4.764667357191764e-08,4.776730267145411e-07,-4.3361690970688616e-08,4.3658760026783907e-07,2.9654664881722147e-07,1.5696208370739688e-07,3.197418679022648e-08,-1.8512624993653144e-07,-2.635977421768796e-07,-6.018593439988185e-09,-4.2117035835751226e-07,-6.610368643727538e-07,-9.530513870313066e-07,-3.6845347476301285e-09,-2.149216585651388e-07,3.6644985645032756e-07,7.815778289586537e-07,4.870529337856708e-07,-1.0660497853850336e-07,-8.356427658362243e-07,-5.243538812349894e-07,-2.1058868767561347e-07,-2.602981156509318e-07,-1.1345880631874356e-08,5.184825213379561e-07,-2.2978798054192914e-07,-6.88294346269643e-07,-8.916095217461879e-07,3.842017103160949e-07,4.5321218626588545e-07,4.3857891110886795e-07,-3.9650683601218055e-07,1.0842465863597793e-06,-1.3503836404151586e-06,2.1872263919693416e-07,-7.880245437004438e-07,-1.7225736826190594e-07,-2.503955388497044e-08,8.366990641300814e-08,-3.2716663401322457e-07,1.2873132284556407e-06,1.8678533152192823e-06,2.1573923828147648e-06,5.859190066386113e-07,2.2244629423268814e-07,-7.75330975975964e-07,-1.1830985492550061e-06,-1.97625151263957e-06,-9.029416566915408e-07,-5.938987399600428e-07,-6.895546060715913e-07,1.320005639786869e-06,-4.573464407741532e-07,1.1179673748380685e-06,-1.6730858683285765e-06,-2.985090346866648e-08,-1.2458065786642931e-06,-2.2057791341965333e-06,2.173091008386218e-06,-4.013698240446454e-06,5.829636135075957e-06,-1.4637438346119612e-06,2.2118599161225096e-06,-7.127836940608005e-06,1.1822664856655893e-05,5.367466534919244e-06,1.4865427929843205e-05,-1.0202760414622584e-05,-2.220489433447183e-05,1.7530588479630673e-05,-2.1065853185966852e-05,2.946441378300378e-06,-3.3465927196434247e-06,3.182654334353592e-05,-1.40214293501489e-05,0.00013411633982733445,-1.3065499696784382e-05,4.9495178592761944e-05,4.020728438245463e-05,-0.00014801092724850922
2.765882301011329e-07,1.0967161937531216e-06,3.4692710490826525e-07,-2.541192550896867e-07,-4.707850320796321e-07,3.099735856601715e-08,-1.7314287527095537e-06,-8.680812634118393e-07,-1.1664631765139968e-06,-8.248982525865912e-07,-6.812221963408666e-07,-1.179079950647156e-06,-7.936208051132528e-09,1.827079848912115e-07,6.408176465551403e-07,9.949284313472442e-07,-5.062742246586211e-07,4.1190183210830333e-07,6.489094565748033e-07,2.2446475089320255e-07,2.682434309212231e-07,3.660179001761981e-07,9.757820101307698e-07,2.2554594131417661e-07,5.491252185210647e-07,7.929218584202418e-08,-1.0356049791003214e-06,-3.87900887504622e-07,-1.068646978043601e-06,-1.022382255663462e-06,-1.1022080380933358e-06,-1.2350375871841461e-06,3.6943452060948444e-07,5.056276601567082e-07,1.9126706674058172e-06,8.971443868425373e-07,2.1877782920588313e-07,1.0043182886008531e-06,-4.80825660321132e-07,1.0482256618570688e-06,-1.190454147716653e-06,2.2720808710390275e-06,4.6135535671277715e-07,-7.806716550259024e-07,4.178040017215658e-07,-2.601203408625571e-06,-2.0015238173786255e-06,-2.6395636731119255e-08,-4.878804220455611e-07,-8.56647727916295e-07,-4.180151128611043e-07,4.2012458495159204e-06,-1.625103994179238e-06,2.45862888542664e-06,1.1051153028610747e-06,9.28380220543515e-07,-1.006173276950716e-06,1.0789221543449305e-06,-3.1713839499709072e-06,2.6718959068313497e-06,5.02933999917562e-06,1.523342267461375e-06,-1.8569282144988006e-07,2.3267340888054518e-06,-5.885987153499625e-06,-3.7604551448940434e-06,3.4685643498911685e-07,1.6073706601675528e-07,-2.2430279931492846e-06,-3.8111681531882654e-07,3.4899996770094703e-06,2.2574886713088177e-06,3.1666465552290147e-06,-4.61624235677663e-07,2.4532470633109287e-06,1.372638245211511e-06,-2.952016620548651e-06,1.4903729514705168e-06,-3.6304795427278545e-06,1.0386668891673035e-05,-4.06673899046863e-07,3.095378616764636e-06,-1.301105898987039e-05,2.1525387884753845e-05,-4.6762626760280505e-06,2.7256447884799504e-05,-5.37683080097801e-06,-2.8464334038927704e-05,2.4321373647713362e-05,-2.05765912101555e-05,7.735275681372585e-06,-9.29683325010155e-06,5.1995971474844626e-05,-7.816044860224038e-06,0.00016678428284273096,-2.182463192352769e-05,6.598331792562751e-05,6.836037247687442e-05,-0.0002222243486505769
9.088717294002486e-08,8.978636419950821e-07,6.099730659808427e-07,-3.7808641839133467e-07,-1.9436091046169108e-07,-2.7810612923505248e-08,-1.4850284379764735e-06,-4.7162050597172797e-07,-6.99523964484617e-07,-8.301182941346567e-07,-2.5322804896699024e-07,-5.944635322605127e-07,2.647571614243849e-07,-3.7341435351833385e-08,6.677110171770733e-07,8.901045129437995e-07,2.790888046540651e-07,6.205132633446413e-07,3.9739600598214647e-07,5.377044796933899e-07,5.808607478225527e-07,2.786311409719857e-07,8.01694791310754e-07,2.3671193091397822e-07,-4.303613905850419e-08,-1.8584113945058344e-07,-9.500613779447138e-07,-8.271954980064276e-07,6.333067903075281e-08,-1.2447128778404311e-06,-9.361580941421688e-07,-1.88888539175342e-06,2.4390778741610514e-08,4.2941105953948376e-07,1.1456070197597609e-06,1.748565181571734e-06,1.17920836615267e-06,-2.574205789677216e-07,-7.517960543227571e-07,-3.347066938741252e-07,-1.2314666835383296e-06,1.2161773657384334e-06,3.2939013752138126e-07,4.1819062908137834e-07,-3.494894361075243e-07,-1.3365516503762931e-06,-1.5719010412213392e-06,6.044239872158408e-07,7.592212837335339e-07,4.1343512809195155e-07,-6.568297699976436e-07,2.96246672543274e-06,-2.0735334709586873e-06,5.378248272307902e-07,-7.065397610534826e-07,7.894550073426118e-07,-1.6859109455819616e-06,-2.537206343169736e-07,-1.121092492950905e-07,3.3524107714311784e-06,5.0215877628905795e-06,-8.173529083709327e-07,5.298073807305646e-07,8.268030305981872e-07,-4.042341877442487e-06,-2.4894518307781743e-06,-4.312196899129742e-07,-6.814312403617824e-07,-4.353866144899356e-06,-1.0052408967133888e-07,2.564704759546598e-06,3.130157506627734e-07,2.789702707227042e-06,-1.8529538799955856e-06,6.312459475897647e-07,-8.113299519069427e-07,-2.1467911190321716e-06,2.4535898443520435e-06,-4.199692696990346e-06,1.1345952648049853e-05,-2.2142049893322323e-06,3.515819752268324e-06,-1.7725693636715317e-05,2.462428215531608e-05,-1.3357342075284608e-05,3.276534616648665e-05,-1.4237065883512756e-06,-3.1765384652144444e-05,2.164052845520133e-05,-1.9317430094093913e-05,9.26551383595107e-06,-1.6546241258526503e-05,6.019397846295093e-05,-6.722007605631841e-06,0.00016683960575241175,-2.4800992738786707e-05,7.183136583448663e-05,8.482520776041245e-05,-0.00025355694117230935
-3.44628981812883e-07,-4.0887197288485375e-07,-1.1109933743574821e-07,1.320970479109171e-07,4.401860510227351e-07,4.3494443293712664e-07,1.5460105615340953e-06,9.872100549672886e-07,3.732634305987818e-07,1.1224778733749715e-06,7.16631631010969e-07,3.287590716125608e-07,4.951650852924163e-07,-5.1818504236135855e-08,-3.6019771815883704e-07,-4.962232595272713e-07,-5.770795445335233e-07,-7.923091536821461e-07,-5.205866839379232e-07,-2.3981788407223723e-07,3.714833676501619e-07,-3.7774472678536343e-07,-1.360089715127836e-06,-1.3547556963149746e-07,-8.303118766453577e-07,-5.442472787825206e-07,2.6655417837375305e-07,8.662824860728778e-07,6.652514462812111e-07,1.4200210512243271e-06,1.0819370532289035e-06,1.7264230106419198e-06,-7.869345868697899e-07,-7.199541253915723e-08,-9.705910042055212e-07,-9.791082555440872e-07,-2.242986428132756e-07,-1.9288392060150006e-08,2.7879851744707636e-06,6.154058515351075e-07,8.50591133340292e-07,5.129854695613817e-08,-8.236635513035823e-07,-1.1116298044100156e-06,-1.5100060357481806e-07,6.365900875356156e-07,2.886539374059688e-06,-3.6921170084431935e-07,-3.6817257630557274e-06,-7.480274733885656e-07,1.8464959257929308e-06,-2.1715056154119935e-06,2.0889316588994925e-06,-1.1050240604961439e-06,2.5381459960534976e-06,-3.0562491605664263e-06,3.3690916972944946e-06,6.930532959963875e-07,-1.9250499071782683e-06,-5.4932037924648716e-06,-5.048863341161891e-06,-1.7062348869313491e-06,1.6252679438197805e-06,-4.3662148623680176e-07,1.1871178006472524e-06,1.5545615053021613e-06,-1.186694121621092e-06,1.4154705340548923e-06,4.389653047763342e-06,6.527455687017093e-07,1.8520907212691345e-06,2.1595735106186304e-06,-5.418650776238427e-06,-1.0117935582846972e-06,3.03825428741495e-06,8.504689738734557e-06,1.3041568074209352e-05,-5.3821803951702354e-08,-7.793249384982821e-06,-2.1128242135042182e-05,-3.828668228028207e-06,-3.4230912510295183e-06,-2.5334956124906128e-05,7.26440544476788e-06,1.3419463768978471e-05,3.7828960791208154e-05,-2.6419431953557925e-06,-4.793369937131282e-06,-7.90500139462689e-05,-4.2147065005650665e-05,3.631083467813165e-05,-0.00010656293151097083,5.406340318559507e-05,2.012086060455008e-05,-0.00019670705059836446,3.447056325034778e-05,-0.00010347611936989398,-1.98503337572794e-05,0.0002486721232608747
-4.2049884713386306e-07,-6.649519208334038e-07,-7.77412730957999e-08,2.0394009906653491e-07,3.029772100019175e-07,3.405082301531398e-07,1.6326134391032798e-06,6.63138209691801e-07,1.9895291641129695e-07,1.1768772161640659e-06,6.858950928849233e-07,-1.114949281418696e-08,4.596896142742493e-07,4.6541884515974405e-07,-3.944752017330272e-07,3.3388580607564437e-09,-7.252467354912805e-07,-5.480317347235164e-07,-5.488160706360107e-07,-2.2083540872545003e-07,5.541865460891477e-08,-2.7266131031319916e-07,-9.301959312097003e-07,-1.5682245956856845e-07,-8.020265271412766e-07,-6.691975769546763e-07,-3.8795698648364356e-08,7.914616292359492e-07,6.930926455142908e-07,1.2884467832804753e-06,3.885453657147903e-07,1.3937785903323287e-06,-9.474288750262556e-07,-3.9932474440519294e-07,-8.455711275477992e-07,-1.078498213976371e-06,-8.37180156047936e-07,3.1515156373093916e-07,3.041796625484699e-06,7.102109392798644e-07,5.033703472206315e-07,9.5417651298318e-08,-6.07131321893947e-07,-1.7355971149074061e-06,5.277368307055071e-07,2.704840580879602e-08,2.6609969585839693e-06,-4.2542332825366584e-08,-3.816245843002454e-06,-8.279670746813453e-07,1.6917119529223962e-06,-2.4590324180077276e-06,2.6444435902481052e-06,-4.5978797532762295e-07,2.9085691850453035e-06,-2.9618660314728296e-06,2.7415968756582847e-06,1.3234783987740607e-06,-3.094490117819866e-06,-3.9593937892034946e-06,-3.479324608208555e-06,-1.8466291189344844e-06,1.1757824241428718e-06,7.271135743391226e-07,-8.373282841393852e-07,-9.373397746701432e-07,-1.71090878085702e-06,-1.483353146701846e-07,2.3909273191875784e-06,2.558763666543025e-06,1.8085841414403653e-06,3.37169641509876e-06,-4.677051579200236e-06,-1.5749293816409284e-06,2.0954968221074303e-06,6.190273049366886e-06,9.829474439477924e-06,-3.387972305708687e-06,-6.252430738930509e-06,-1.6562130713727675e-05,4.386790404436122e-07,2.6019697715687656e-06,-1.6797540273996943e-05,2.0409759172584034e-05,2.7224772245494554e-05,4.507539806485141e-05,-8.958421145264453e-06,4.029170487131028e-05,-1.9755243042834007e-05,-9.282164504252634e-06,2.0479942173468734e-05,-8.259932205924456e-05,1.0553299009858723e-05,3.6348469242110126e-05,-0.00019681245617307017,2.078977345227242e-05,-9.253871270132725e-05,-5.325832712319273e-05,0.00029229320034928084
-1.2653333941105185e-07,-3.0373029619474303e-07,5.101963869757527e-08,-2.6470039395520044e-08,1.8820940491848774e-07,2.6600150536156266e-07,1.3082686913196708e-07,8.447502959794456e-08,-4.866648344876615e-07,9.934462896994698e-08,-5.945810972730921e-07,-5.033251428152142e-07,2.5680038831593456e-07,3.7321033435833044e-07,4.921929089030753e-07,2.34055875327692e-07,-3.574016505610138e-08,-1.7931701874309828e-07,4.0343982895340544e-07,-1.987970927284736e-07,2.802367203746665e-07,-5.627311877920704e-08,8.472212440178796e-08,-2.2506690630196544e-07,1.5750865767000649e-07,3.269541687874317e-07,-2.1406565218166224e-08,-1.6768215374579555e-07,-1.945756010752894e-08,-2.4279607517147466e-08,-5.013029226575144e-07,-1.69641694978419e-07,1.3366043273471426e-07,-7.307478987341838e-07,1.6577380953827004e-07,-3.478653124223394e-08,-5.924904126681326e-07,3.9150090692202245e-07,1.7258989588287674e-07,4.0903616826462716e-07,-4.164211085175253e-07,-5.989423543458078e-07,8.450172934146206e-07,-8.633142297364504e-07,5.167779800025336e-07,-3.640996013078265e-07,-5.121941686209888e-07,2.8083048185379296e-07,-6.067669014674606e-08,-4.095882528837879e-07,-3.350149841699303e-07,-1.2194511047575352e-07,-2.157721276649777e-07,1.0245672833089128e-06,-1.0628650878604593e-07,8.193596368911268e-08,3.7576619761170793e-07,4.434040378611351e-07,-9.307664200436614e-07,1.4987097808788147e-06,1.9508862742312034e-06,1.1107627205435538e-06,6.64641602368102e-08,8.684168450114628e-07,-1.5519060086933614e-06,-1.5410628122460867e-06,-1.0616055179043143e-06,-3.50172210014455e-07,-5.232243423289996e-07,1.6950272017089841e-06,-3.6250445415027744e-07,1.1751191443757747e-06,-5.536398345509653e-07,-4.3401036467826714e-07,-1.1058303105849403e-07,-1.378550143229049e-06,-2.2304392812006506e-06,-1.8933965741119875e-06,1.9084569088370866e-06,6.618371213414501e-06,2.828011944663339e-06,2.561685116785004e-06,1.1258118930074606e-05,8.070644148714556e-06,1.4190729607855667e-05,3.4618235329396965e-06,-8.437399406961468e-06,3.4122035949178546e-05,4.530833312029308e-05,2.12287470212482e-05,-1.346998597188749e-05,2.4623876758342463e-05,-4.0670084192979e-05,1.2017376634112038e-05,1.1282630414907764e-05,-1.4045791846480142e-05,1.1549940947640084e-05,-3.1177004274965435e-05,3.1805953694863944e-05
6.238607148973496e-08,1.9728922946772908e-07,3.927258253646815e-08,9.953298883572474e-08,-1.7324002719231737e-07,2.1883489946923205e-07,-5.060747096532111e-07,-6.896850180534061e-07,-2.709351864787685e-07,-1.5009864011009207e-07,1.4105892482431704e-07,-5.223954280812902e-07,-8.285423120661046e-08,-9.003793777603449e-08,-1.4098987011469679e-09,5.731205407399059e-07,-1.38612270650488e-07,1.894680114435244e-07,9.612365774014983e-07,2.894312612728635e-07,1.7915777085181913e-08,4.2001142534084607e-08,4.991529986393443e-07,-9.305630177498117e-09,3.6642373397432004e-07,-1.7168445915849227e-07,-2.144061449142615e-07,-6.279109578645438e-07,-4.0726051056177417e-07,-7.552525684184171e-07,-1.4360834557042665e-06,-1.1476243625929268e-06,-1.6541216843834408e-07,1.6332114971142201e-07,6.538663405774951e-07,-1.5755735035531593e-07,-4.2547401432635387e-07,4.683771820270574e-07,8.836766727028154e-08,3.47082909505288e-07,1.1562480603706643e-07,9.370359437750135e-07,3.814357216135623e-07,5.585133837744942e-08,3.743790222167502e-08,-1.4065770691227916e-06,-1.2041663835721618e-06,3.630912581110158e-07,9.964482012894387e-07,-6.101545387726293e-07,-7.671330550242352e-07,2.269384771729818e-06,-6.818724278065003e-07,1.2408154363676254e-06,1.0145299574309281e-06,2.476798675370678e-06,-9.507535047840486e-07,1.082932666095138e-06,-2.1708124252042418e-06,2.8553974725915428e-06,3.3739044126388025e-06,2.224162983517242e-06,-1.0923104983190248e-07,1.5212172441720184e-06,-3.8121498222776536e-06,5.970008798738671e-08,8.718477076965614e-07,-2.479392011368685e-07,2.145191180790172e-07,5.881690296129248e-07,7.490683564105973e-10,-1.1863538373972683e-06,1.904680337858076e-06,1.1045752125036139e-06,1.0134957330489096e-06,-2.6862526282897735e-06,-5.239354696237973e-06,4.809720500546903e-07,4.2188529470460854e-06,1.180640421195353e-05,1.9705773515983753e-06,-1.95002886793155e-06,1.4662719464718478e-05,-9.08605081854752e-06,-7.589194239997017e-06,-2.1066700696947175e-05,-2.8066996474512383e-07,-7.2377060563148025e-06,2.6882090367253852e-05,1.1001104685967194e-05,-1.614013336094181e-05,5.335944549934012e-05,-2.1019881027342694e-05,-1.2273725419239334e-05,0.00010996886141254468,-1.6905062722673516e-05,5.016632613792585e-05,1.045867950733971e-05,-0.0001343010285558812
