global_index,file,local_index,key
30,ATLAS_8/ATLAS8-08y12.csv,0,ATLAS_8/ATLAS8-08y12/0
31,ATLAS_8/ATLAS8-08y12.csv,1,ATLAS_8/ATLAS8-08y12/1
32,ATLAS_8/ATLAS8-08y12.csv,2,ATLAS_8/ATLAS8-08y12/2
33,ATLAS_8/ATLAS8-08y12.csv,3,ATLAS_8/ATLAS8-08y12/3
34,ATLAS_8/ATLAS8-08y12.csv,4,ATLAS_8/ATLAS8-08y12/4
35,ATLAS_8/ATLAS8-08y12.csv,5,ATLAS_8/ATLAS8-08y12/5
36,ATLAS_8/ATLAS8-116Q150.csv,0,ATLAS_8/ATLAS8-116Q150/0
37,ATLAS_8/ATLAS8-116Q150.csv,1,ATLAS_8/ATLAS8-116Q150/1
38,ATLAS_8/ATLAS8-116Q150.csv,2,ATLAS_8/ATLAS8-116Q150/2
39,ATLAS_8/ATLAS8-116Q150.csv,3,ATLAS_8/ATLAS8-116Q150/3
40,ATLAS_8/ATLAS8-116Q150.csv,4,ATLAS_8/ATLAS8-116Q150/4
41,ATLAS_8/ATLAS8-116Q150.csv,5,ATLAS_8/ATLAS8-116Q150/5
42,ATLAS_8/ATLAS8-116Q150.csv,6,ATLAS_8/ATLAS8-116Q150/6
43,ATLAS_8/ATLAS8-116Q150.csv,7,ATLAS_8/ATLAS8-116Q150/7
44,ATLAS_8/ATLAS8-12y16.csv,0,ATLAS_8/ATLAS8-12y16/0
45,ATLAS_8/ATLAS8-12y16.csv,1,ATLAS_8/ATLAS8-12y16/1
46,ATLAS_8/ATLAS8-12y16.csv,2,ATLAS_8/ATLAS8-12y16/2
47,ATLAS_8/ATLAS8-12y16.csv,3,ATLAS_8/ATLAS8-12y16/3
48,ATLAS_8/ATLAS8-12y16.csv,4,ATLAS_8/ATLAS8-12y16/4
49,ATLAS_8/ATLAS8-12y16.csv,5,ATLAS_8/ATLAS8-12y16/5
50,ATLAS_8/ATLAS8-16y20.csv,0,ATLAS_8/ATLAS8-16y20/0
51,ATLAS_8/ATLAS8-16y20.csv,1,ATLAS_8/ATLAS8-16y20/1
52,ATLAS_8/ATLAS8-16y20.csv,2,ATLAS_8/ATLAS8-16y20/2
53,ATLAS_8/ATLAS8-16y20.csv,3,ATLAS_8/ATLAS8-16y20/3
54,ATLAS_8/ATLAS8-16y20.csv,4,ATLAS_8/ATLAS8-16y20/4
55,ATLAS_8/ATLAS8-16y20.csv,5,ATLAS_8/ATLAS8-16y20/5
56,ATLAS_8/ATLAS8-20y24.csv,0,ATLAS_8/ATLAS8-20y24/0
57,ATLAS_8/ATLAS8-20y24.csv,1,ATLAS_8/ATLAS8-20y24/1
58,ATLAS_8/ATLAS8-20y24.csv,2,ATLAS_8/ATLAS8-20y24/2
59,ATLAS_8/ATLAS8-20y24.csv,3,ATLAS_8/ATLAS8-20y24/3
60,ATLAS_8/ATLAS8-20y24.csv,4,ATLAS_8/ATLAS8-20y24/4
61,ATLAS_8/ATLAS8-20y24.csv,5,ATLAS_8/ATLAS8-20y24/5
62,ATLAS_8/ATLAS8-46Q66.csv,0,ATLAS_8/ATLAS8-46Q66/0
63,ATLAS_8/ATLAS8-46Q66.csv,1,ATLAS_8/ATLAS8-46Q66/1
64,ATLAS_8/ATLAS8-46Q66.csv,2,ATLAS_8/ATLAS8-46Q66/2
65,ATLAS_8/ATLAS8-46Q66.csv,3,ATLAS_8/ATLAS8-46Q66/3
66,CDF_I/CDF1.csv,0,CDF_I/CDF1/0
67,CDF_I/CDF1.csv,1,CDF_I/CDF1/1
68,CDF_I/CDF1.csv,2,CDF_I/CDF1/2
69,CDF_I/CDF1.csv,3,CDF_I/CDF1/3
70,CDF_I/CDF1.csv,4,CDF_I/CDF1/4
71,CDF_I/CDF1.csv,5,CDF_I/CDF1/5
72,CDF_I/CDF1.csv,6,CDF_I/CDF1/6
73,CDF_I/CDF1.csv,7,CDF_I/CDF1/7
74,CDF_I/CDF1.csv,8,CDF_I/CDF1/8
75,CDF_I/CDF1.csv,9,CDF_I/CDF1/9
76,CDF_I/CDF1.csv,10,CDF_I/CDF1/10
77,CDF_I/CDF1.csv,11,CDF_I/CDF1/11
78,CDF_I/CDF1.csv,12,CDF_I/CDF1/12
79,CDF_I/CDF1.csv,13,CDF_I/CDF1/13
80,CDF_I/CDF1.csv,14,CDF_I/CDF1/14
81,CDF_I/CDF1.csv,15,CDF_I/CDF1/15
82,CDF_I/CDF1.csv,16,CDF_I/CDF1/16
83,CDF_I/CDF1.csv,17,CDF_I/CDF1/17
84,CDF_I/CDF1.csv,18,CDF_I/CDF1/18
85,CDF_I/CDF1.csv,19,CDF_I/CDF1/19
86,CDF_I/CDF1.csv,20,CDF_I/CDF1/20
87,CDF_I/CDF1.csv,21,CDF_I/CDF1/21
88,CDF_I/CDF1.csv,22,CDF_I/CDF1/22
89,CDF_I/CDF1.csv,23,CDF_I/CDF1/23
90,CDF_I/CDF1.csv,24,CDF_I/CDF1/24
91,CDF_II/CDF2.csv,0,CDF_II/CDF2/0
92,CDF_II/CDF2.csv,1,CDF_II/CDF2/1
93,CDF_II/CDF2.csv,2,CDF_II/CDF2/2
94,CDF_II/CDF2.csv,3,CDF_II/CDF2/3
95,CDF_II/CDF2.csv,4,CDF_II/CDF2/4
96,CDF_II/CDF2.csv,5,CDF_II/CDF2/5
97,CDF_II/CDF2.csv,6,CDF_II/CDF2/6
98,CDF_II/CDF2.csv,7,CDF_II/CDF2/7
99,CDF_II/CDF2.csv,8,CDF_II/CDF2/8
100,CDF_II/CDF2.csv,9,CDF_II/CDF2/9
101,CDF_II/CDF2.csv,10,CDF_II/CDF2/10
102,CDF_II/CDF2.csv,11,CDF_II/CDF2/11
103,CDF_II/CDF2.csv,12,CDF_II/CDF2/12
104,CDF_II/CDF2.csv,13,CDF_II/CDF2/13
105,CDF_II/CDF2.csv,14,CDF_II/CDF2/14
106,CDF_II/CDF2.csv,15,CDF_II/CDF2/15
107,CDF_II/CDF2.csv,16,CDF_II/CDF2/16
108,CDF_II/CDF2.csv,17,CDF_II/CDF2/17
109,CDF_II/CDF2.csv,18,CDF_II/CDF2/18
110,CDF_II/CDF2.csv,19,CDF_II/CDF2/19
111,CDF_II/CDF2.csv,20,CDF_II/CDF2/20
112,CDF_II/CDF2.csv,21,CDF_II/CDF2/21
113,CDF_II/CDF2.csv,22,CDF_II/CDF2/22
114,CDF_II/CDF2.csv,23,CDF_II/CDF2/23
115,CDF_II/CDF2.csv,24,CDF_II/CDF2/24
116,CDF_II/CDF2.csv,25,CDF_II/CDF2/25
117,CMS_7/CMS7.csv,0,CMS_7/CMS7/0
118,CMS_7/CMS7.csv,1,CMS_7/CMS7/1
119,CMS_7/CMS7.csv,2,CMS_7/CMS7/2
120,CMS_7/CMS7.csv,3,CMS_7/CMS7/3
121,CMS_8/CMS8.csv,0,CMS_8/CMS8/0
122,CMS_8/CMS8.csv,1,CMS_8/CMS8/1
123,CMS_8/CMS8.csv,2,CMS_8/CMS8/2
124,CMS_8/CMS8.csv,3,CMS_8/CMS8/3
125,CMS_13/CMS13-00y04.csv,0,CMS_13/CMS13-00y04/0
126,CMS_13/CMS13-00y04.csv,1,CMS_13/CMS13-00y04/1
127,CMS_13/CMS13-00y04.csv,2,CMS_13/CMS13-00y04/2
128,CMS_13/CMS13-00y04.csv,3,CMS_13/CMS13-00y04/3
129,CMS_13/CMS13-00y04.csv,4,CMS_13/CMS13-00y04/4
130,CMS_13/CMS13-00y04.csv,5,CMS_13/CMS13-00y04/5
131,CMS_13/CMS13-00y04.csv,6,CMS_13/CMS13-00y04/6
132,CMS_13/CMS13-00y04.csv,7,CMS_13/CMS13-00y04/7
133,CMS_13/CMS13-00y04.csv,8,CMS_13/CMS13-00y04/8
134,CMS_13/CMS13-00y04.csv,9,CMS_13/CMS13-00y04/9
135,CMS_13/CMS13-00y04.csv,10,CMS_13/CMS13-00y04/10
136,CMS_13/CMS13-00y04.csv,11,CMS_13/CMS13-00y04/11
137,CMS_13/CMS13-00y04.csv,12,CMS_13/CMS13-00y04/12
138,CMS_13/CMS13-04y08.csv,0,CMS_13/CMS13-04y08/0
139,CMS_13/CMS13-04y08.csv,1,CMS_13/CMS13-04y08/1
140,CMS_13/CMS13-04y08.csv,2,CMS_13/CMS13-04y08/2
141,CMS_13/CMS13-04y08.csv,3,CMS_13/CMS13-04y08/3
142,CMS_13/CMS13-04y08.csv,4,CMS_13/CMS13-04y08/4
143,CMS_13/CMS13-04y08.csv,5,CMS_13/CMS13-04y08/5
144,CMS_13/CMS13-04y08.csv,6,CMS_13/CMS13-04y08/6
145,CMS_13/CMS13-04y08.csv,7,CMS_13/CMS13-04y08/7
146,CMS_13/CMS13-04y08.csv,8,CMS_13/CMS13-04y08/8
147,CMS_13/CMS13-04y08.csv,9,CMS_13/CMS13-04y08/9
148,CMS_13/CMS13-04y08.csv,10,CMS_13/CMS13-04y08/10
149,CMS_13/CMS13-04y08.csv,11,CMS_13/CMS13-04y08/11
150,CMS_13/CMS13-04y08.csv,12,CMS_13/CMS13-04y08/12
151,CMS_13/CMS13-08y12.csv,0,CMS_13/CMS13-08y12/0
152,CMS_13/CMS13-08y12.csv,1,CMS_13/CMS13-08y12/1
153,CMS_13/CMS13-08y12.csv,2,CMS_13/CMS13-08y12/2
154,CMS_13/CMS13-08y12.csv,3,CMS_13/CMS13-08y12/3
155,CMS_13/CMS13-08y12.csv,4,CMS_13/CMS13-08y12/4
156,CMS_13/CMS13-08y12.csv,5,CMS_13/CMS13-08y12/5
157,CMS_13/CMS13-08y12.csv,6,CMS_13/CMS13-08y12/6
158,CMS_13/CMS13-08y12.csv,7,CMS_13/CMS13-08y12/7
159,CMS_13/CMS13-08y12.csv,8,CMS_13/CMS13-08y12/8
160,CMS_13/CMS13-08y12.csv,9,CMS_13/CMS13-08y12/9
161,CMS_13/CMS13-08y12.csv,10,CMS_13/CMS13-08y12/10
162,CMS_13/CMS13-08y12.csv,11,CMS_13/CMS13-08y12/11
163,CMS_13/CMS13-08y12.csv,12,CMS_13/CMS13-08y12/12
164,CMS_13/CMS13-106Q170.csv,0,CMS_13/CMS13-106Q170/0
165,CMS_13/CMS13-106Q170.csv,1,CMS_13/CMS13-106Q170/1
166,CMS_13/CMS13-106Q170.csv,2,CMS_13/CMS13-106Q170/2
167,CMS_13/CMS13-106Q170.csv,3,CMS_13/CMS13-106Q170/3
168,CMS_13/CMS13-106Q170.csv,4,CMS_13/CMS13-106Q170/4
169,CMS_13/CMS13-106Q170.csv,5,CMS_13/CMS13-106Q170/5
170,CMS_13/CMS13-106Q170.csv,6,CMS_13/CMS13-106Q170/6
171,CMS_13/CMS13-106Q170.csv,7,CMS_13/CMS13-106Q170/7
172,CMS_13/CMS13-12y16.csv,0,CMS_13/CMS13-12y16/0
173,CMS_13/CMS13-12y16.csv,1,CMS_13/CMS13-12y16/1
174,CMS_13/CMS13-12y16.csv,2,CMS_13/CMS13-12y16/2
175,CMS_13/CMS13-12y16.csv,3,CMS_13/CMS13-12y16/3
176,CMS_13/CMS13-12y16.csv,4,CMS_13/CMS13-12y16/4
177,CMS_13/CMS13-12y16.csv,5,CMS_13/CMS13-12y16/5
178,CMS_13/CMS13-12y16.csv,6,CMS_13/CMS13-12y16/6
179,CMS_13/CMS13-12y16.csv,7,CMS_13/CMS13-12y16/7
180,CMS_13/CMS13-12y16.csv,8,CMS_13/CMS13-12y16/8
181,CMS_13/CMS13-12y16.csv,9,CMS_13/CMS13-12y16/9
182,CMS_13/CMS13-12y16.csv,10,CMS_13/CMS13-12y16/10
183,CMS_13/CMS13-12y16.csv,11,CMS_13/CMS13-12y16/11
184,CMS_13/CMS13-12y16.csv,12,CMS_13/CMS13-12y16/12
185,CMS_13/CMS13-16y24.csv,0,CMS_13/CMS13-16y24/0
186,CMS_13/CMS13-16y24.csv,1,CMS_13/CMS13-16y24/1
187,CMS_13/CMS13-16y24.csv,2,CMS_13/CMS13-16y24/2
188,CMS_13/CMS13-16y24.csv,3,CMS_13/CMS13-16y24/3
189,CMS_13/CMS13-16y24.csv,4,CMS_13/CMS13-16y24/4
190,CMS_13/CMS13-16y24.csv,5,CMS_13/CMS13-16y24/5
191,CMS_13/CMS13-16y24.csv,6,CMS_13/CMS13-16y24/6
192,CMS_13/CMS13-16y24.csv,7,CMS_13/CMS13-16y24/7
193,CMS_13/CMS13-16y24.csv,8,CMS_13/CMS13-16y24/8
194,CMS_13/CMS13-16y24.csv,9,CMS_13/CMS13-16y24/9
195,CMS_13/CMS13-16y24.csv,10,CMS_13/CMS13-16y24/10
196,CMS_13/CMS13-16y24.csv,11,CMS_13/CMS13-16y24/11
197,CMS_13/CMS13-16y24.csv,12,CMS_13/CMS13-16y24/12
198,CMS_13/CMS13-170Q350.csv,0,CMS_13/CMS13-170Q350/0
199,CMS_13/CMS13-170Q350.csv,1,CMS_13/CMS13-170Q350/1
200,CMS_13/CMS13-170Q350.csv,2,CMS_13/CMS13-170Q350/2
201,CMS_13/CMS13-170Q350.csv,3,CMS_13/CMS13-170Q350/3
202,CMS_13/CMS13-170Q350.csv,4,CMS_13/CMS13-170Q350/4
203,CMS_13/CMS13-170Q350.csv,5,CMS_13/CMS13-170Q350/5
204,CMS_13/CMS13-170Q350.csv,6,CMS_13/CMS13-170Q350/6
205,CMS_13/CMS13-170Q350.csv,7,CMS_13/CMS13-170Q350/7
206,CMS_13/CMS13-170Q350.csv,8,CMS_13/CMS13-170Q350/8
207,CMS_13/CMS13-170Q350.csv,9,CMS_13/CMS13-170Q350/9
208,CMS_13/CMS13-350Q1000.csv,0,CMS_13/CMS13-350Q1000/0
209,CMS_13/CMS13-350Q1000.csv,1,CMS_13/CMS13-350Q1000/1
210,CMS_13/CMS13-350Q1000.csv,2,CMS_13/CMS13-350Q1000/2
211,CMS_13/CMS13-350Q1000.csv,3,CMS_13/CMS13-350Q1000/3
212,CMS_13/CMS13-350Q1000.csv,4,CMS_13/CMS13-350Q1000/4
213,CMS_13/CMS13-350Q1000.csv,5,CMS_13/CMS13-350Q1000/5
214,CMS_13/CMS13-350Q1000.csv,6,CMS_13/CMS13-350Q1000/6
215,CMS_13/CMS13-350Q1000.csv,7,CMS_13/CMS13-350Q1000/7
216,CMS_13/CMS13-350Q1000.csv,8,CMS_13/CMS13-350Q1000/8
217,CMS_13/CMS13-350Q1000.csv,9,CMS_13/CMS13-350Q1000/9
218,CMS_13/CMS13-350Q1000.csv,10,CMS_13/CMS13-350Q1000/10
219,D0_I/D01.csv,0,D0_I/D01/0
220,D0_I/D01.csv,1,D0_I/D01/1
221,D0_I/D01.csv,2,D0_I/D01/2
222,D0_I/D01.csv,3,D0_I/D01/3
223,D0_I/D01.csv,4,D0_I/D01/4
224,D0_I/D01.csv,5,D0_I/D01/5
225,D0_I/D01.csv,6,D0_I/D01/6
226,D0_I/D01.csv,7,D0_I/D01/7
227,D0_I/D01.csv,8,D0_I/D01/8
228,D0_I/D01.csv,9,D0_I/D01/9
229,D0_I/D01.csv,10,D0_I/D01/10
230,D0_I/D01.csv,11,D0_I/D01/11
231,D0_II/D02.csv,0,D0_II/D02/0
232,D0_II/D02.csv,1,D0_II/D02/1
233,D0_II/D02.csv,2,D0_II/D02/2
234,D0_II/D02.csv,3,D0_II/D02/3
235,D0_II/D02.csv,4,D0_II/D02/4
236,D0_II_mu/D02mu.csv,0,D0_II_mu/D02mu/0
237,D0_II_mu/D02mu.csv,1,D0_II_mu/D02mu/1
238,D0_II_mu/D02mu.csv,2,D0_II_mu/D02mu/2
239,E288/E228-200-4Q5.csv,0,E288/E228-200-4Q5/0
240,E288/E228-200-4Q5.csv,1,E288/E228-200-4Q5/1
241,E288/E228-200-4Q5.csv,2,E288/E228-200-4Q5/2
242,E288/E228-200-5Q6.csv,0,E288/E228-200-5Q6/0
243,E288/E228-200-5Q6.csv,1,E288/E228-200-5Q6/1
244,E288/E228-200-5Q6.csv,2,E288/E228-200-5Q6/2
245,E288/E228-200-5Q6.csv,3,E288/E228-200-5Q6/3
246,E288/E228-200-6Q7.csv,0,E288/E228-200-6Q7/0
247,E288/E228-200-6Q7.csv,1,E288/E228-200-6Q7/1
248,E288/E228-200-6Q7.csv,2,E288/E228-200-6Q7/2
249,E288/E228-200-6Q7.csv,3,E288/E228-200-6Q7/3
250,E288/E228-200-6Q7.csv,4,E288/E228-200-6Q7/4
251,E288/E228-200-6Q7.csv,5,E288/E228-200-6Q7/5
252,E288/E228-200-7Q8.csv,0,E288/E228-200-7Q8/0
253,E288/E228-200-7Q8.csv,1,E288/E228-200-7Q8/1
254,E288/E228-200-7Q8.csv,2,E288/E228-200-7Q8/2
255,E288/E228-200-7Q8.csv,3,E288/E228-200-7Q8/3
256,E288/E228-200-7Q8.csv,4,E288/E228-200-7Q8/4
257,E288/E228-200-7Q8.csv,5,E288/E228-200-7Q8/5
258,E288/E228-200-7Q8.csv,6,E288/E228-200-7Q8/6
259,E288/E228-200-8Q9.csv,0,E288/E228-200-8Q9/0
260,E288/E228-200-8Q9.csv,1,E288/E228-200-8Q9/1
261,E288/E228-200-8Q9.csv,2,E288/E228-200-8Q9/2
262,E288/E228-200-8Q9.csv,3,E288/E228-200-8Q9/3
263,E288/E228-200-8Q9.csv,4,E288/E228-200-8Q9/4
264,E288/E228-200-8Q9.csv,5,E288/E228-200-8Q9/5
