0,1,2,3,4,5,6,7,8
1.9520392791429122e-06,1.8461165278193622e-06,1.644662659190923e-06,1.3771418366762229e-06,1.0795448499589253e-06,7.804012492676813e-07,5.095342152606604e-07,2.822104560144071e-07,1.194033934341226e-07
1.8461165278193622e-06,1.7461825108305543e-06,1.55600559538852e-06,1.3033434346761084e-06,1.0222972269787589e-06,7.397053150713714e-07,4.837516988190649e-07,2.6878703118672374e-07,1.1476790032112183e-07
1.644662659190923e-06,1.55600559538852e-06,1.387331508900553e-06,1.1629453071003466e-06,9.132889609510893e-07,6.621854588618734e-07,4.3459113973531976e-07,2.4312489492304885e-07,1.0582866947079542e-07
1.3771418366762229e-06,1.3033434346761084e-06,1.1629453071003466e-06,9.762606446444566e-07,7.682252569993718e-07,5.588207657016373e-07,3.688485583546846e-07,2.0860005679540178e-07,9.353381220734496e-08
1.0795448499589253e-06,1.0222972269787589e-06,9.132889609510893e-07,7.682252569993718e-07,6.069611490229276e-07,4.4392307885726353e-07,2.9585304651385103e-07,1.7034558223225892e-07,8.002265968838689e-08
7.804012492676813e-07,7.397053150713714e-07,6.621854588618734e-07,5.588207657016373e-07,4.4392307885726353e-07,3.274895423084536e-07,2.2138491857023705e-07,1.3077291301209696e-07,6.534887132657658e-08
5.095342152606604e-07,4.837516988190649e-07,4.3459113973531976e-07,3.688485583546846e-07,2.9585304651385103e-07,2.2138491857023705e-07,1.5320123127860498e-07,9.417653097754662e-08,5.130938714520433e-08
2.822104560144071e-07,2.6878703118672374e-07,2.4312489492304885e-07,2.0860005679540178e-07,1.7034558223225892e-07,1.3077291301209696e-07,9.417653097754662e-08,6.165785353461024e-08,3.774342001258964e-08
1.194033934341226e-07,1.1476790032112183e-07,1.0582866947079542e-07,9.353381220734496e-08,8.002265968838689e-08,6.534887132657658e-08,5.130938714520433e-08,3.774342001258964e-08,2.7432873496414873e-08
