qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 ,bin_integrate_factor
True,0.1,0.0,0.2,True,12.5,12.0,13.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.00225,0.00085,0.25,8.3333333333
True,0.3,0.2,0.4,True,12.5,12.0,13.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.00259,0.00054,0.25,8.3333333333
True,0.5,0.4,0.6,True,12.5,12.0,13.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.00157,0.00035,0.25,8.3333333333
True,0.7,0.6,0.8,True,12.5,12.0,13.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.00207,0.00034,0.25,8.3333333333
True,0.9,0.8,1.0,True,12.5,12.0,13.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.00154,0.00027,0.25,8.3333333333
True,1.1,1.0,1.2,True,12.5,12.0,13.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.00129,0.00024,0.25,8.3333333333
True,1.3,1.2,1.4,True,12.5,12.0,13.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.00097,0.0002,0.25,8.3333333333
True,1.5,1.4,1.6,True,12.5,12.0,13.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.00085,0.00018,0.25,8.3333333333
True,1.7,1.6,1.8,True,12.5,12.0,13.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.00052,0.00014,0.25,8.3333333333
True,1.9,1.8,2.0,True,12.5,12.0,13.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.00016,8e-05,0.25,8.3333333333
True,2.1,2.0,2.2,True,12.5,12.0,13.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.00024,0.0001,0.25,8.3333333333
True,2.3,2.2,2.4,True,12.5,12.0,13.0,True,0.03,-0.27,0.33,27.43,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.00013,8e-05,0.25,8.3333333333
