candidate,chi2dN_total,chi2dN_collider,chi2dN_fixed_target,highE_mean_absdev_first3,highE_mean_shortfall_first3,cms_highmass_mean_signed_first3,zlike_mean_signed_first3,delta_total_vs_poly_bstar_42,delta_absdev_vs_poly_bstar_42,delta_shortfall_vs_poly_bstar_42,fit_evals,fit_flag,lambda1,lambda2,lambda3,lambda4,alpha,BNP,c0,c1,c2
poly_bstar_cslog2_42,0.9710631216642976,0.8942623872943353,1.0746277483147018,0.051240504334197697,0.015697480426374467,0.08885755976955807,-0.026162467377290777,-0.058291277240442585,-0.0006973636352545914,0.0048876944504314315,3054,0,1.7517337091473788,1.2167295672661635,-5.059539708292638,0.30680834333549034,1.1909544314562002,0.9144522512395119,0.11025796089757271,0.09491222429905632,0.0396367460967935
poly_bstar_cslog_42_alpha1,1.0017782736220016,0.9148669589196123,1.1189768646600724,0.05200507370327282,0.011187830790652449,0.10132042422905085,-0.018164595949420697,-0.027576125282738673,6.720573382053285e-05,0.00037804481470941377,2898,0,2.2045991224110546,1.6398694839936574,-6.806848577614292,0.38074709106931526,1.0,1.4538409401595116,0.07728790754106585,0.02521150021596147,
art23_mu_poly_cslog_42,1.0020279020104812,0.913319161905627,1.1216502939700577,0.05213519121735011,0.011213429624121463,0.10159066961718659,-0.01821322646294575,-0.027326496894259034,0.00019732324789781958,0.000403643648178428,2939,0,2.3103330830222175,1.7722871023098905,-7.243732193276751,0.4000659500466486,,1.4605778758112269,0.07651943219889439,0.02564601681013193,
poly_bstar_cslog_42_base,0.9997897100155037,0.9132671885966899,1.1164640192014799,0.05223210138546851,0.01139020367906293,0.10136354832215673,-0.018489542169200082,-0.02956468888923658,0.0002942334160162194,0.0005804177031198954,2980,0,2.0759922642484705,1.7867511851988729,-6.859130610169322,0.3617142588617839,1.1505795326899912,1.4146302544249747,0.07906283573534857,0.02492339585893984,
art17m2_art23cslog_42,1.0496957294605802,0.9622329695105251,1.1676379360598972,0.052626115996613966,0.011157471146399733,0.10260227399868498,-0.017882893159432478,0.020341330555839976,0.0006882480271616781,0.0003476851704566977,2846,0,0.11462710683257339,2.0,,,,1.3347483146331753,0.08741624515629468,0.028616606179940617,
poly_bstar_cslog_42_nolog,1.0058521083641891,0.979073111390876,1.0419631800403233,0.05378726509979417,0.012035428589838578,0.10359845767410154,-0.01953829191587268,-0.023502290540551085,0.0018493971303418788,0.0012256426138955428,2963,0,0.4993875569309919,0.13655828348878277,-1.2834705207059507,0.0,1.544935996516084,1.3489820391636407,0.07660398120927832,0.02351663440871661,
sqrtx_poly_bstar_cslog_42,1.0024064263162997,0.9720461737006656,1.043346766964655,0.05602791057486485,0.013075503942866969,0.10663555935679699,-0.021295535089313145,-0.026947972588440505,0.004090042605412562,0.0022657179669239337,3078,0,0.28499648880287276,0.6864248569575693,-1.962350708641253,0.13509407424361208,1.493788718617006,1.311438899052726,0.07628535962578327,0.02513576873286071,
art17m1_art23cslog_42,1.032954549682067,0.976958913602898,1.1084638165160976,0.06320523853799026,0.018526034455102473,0.11169801020721948,-0.030876724091837456,0.0036001507773266717,0.011267370568537972,0.007716248479159438,2861,0,0.19248798180097026,1.513587221914196,,,,0.9206774983948488,0.09954990056174298,0.1136772700079532,
