candidate,chi2dN_total,chi2dN_collider,chi2dN_fixed_target,highE_mean_absdev_first3,highE_mean_shortfall_first3,cms_highmass_mean_signed_first3,zlike_mean_signed_first3,delta_total_vs_powerseed,delta_absdev_vs_powerseed,delta_shortfall_vs_powerseed,fit_evals,fit_flag,lambda1,lambda2,lambda4,logx0,sigx,amp,BNP,c0,c1
basis_sqrtx_log,0.8267644337586489,0.8881748000087167,0.7439534853305276,0.05143982372978836,0.010385580242967577,0.1020468600416015,-0.016916801287978997,0.0005320140183516786,5.436303619717198e-06,-6.0728742536302754e-05,525,1,0.5527263703153307,0.5972271350465055,0.0274507271704294,-4.594066183531979,0.31900944299870715,-0.47805405316751703,1.395414594318309,0.07944241943307276,0.022825719221084832
basis_powerseed_baseline,0.8261369661766435,0.8871642293426428,0.7438426264527961,0.0514838432170236,0.010499455187374036,0.10189479434229114,-0.017121641491068207,-9.545356365381341e-05,4.945579085496171e-05,5.314620187015645e-05,525,1,0.5387112391196186,0.6310082205942485,0.02361749387694423,-4.587115649150544,0.3261499968473518,-0.49074120750722816,1.4199489111590036,0.07929462046831984,0.022217808956567067
basis_sqrtx_softlog,0.8263594243733041,0.8868524416065354,0.7447855071951595,0.05170346127405527,0.010769356298115115,0.1017760467976071,-0.017576116735362992,0.00012700463300685527,0.0002690738478866306,0.0003230473126112354,525,1,0.5473487341597425,0.6009525356690031,0.034532831096810046,-4.579699353442001,0.3270537976398921,-0.4667278334617595,1.4298609895649212,0.07930061803959605,0.02184602620970228
basis_x_softlog,0.8260476786576316,0.8877749145865538,0.74280943626863,0.051786979627202266,0.01059469919956162,0.10240747055258288,-0.01727567832159021,-0.00018474108266564038,0.00035259220103362604,0.00014839021405774026,525,1,0.5370685170481068,0.6498689665786284,0.026822104503598232,-4.596340602139166,0.327781812840934,-0.47773234157426625,1.4130693939474912,0.07928629147722258,0.02257997343429697
