qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_add_0,error_mult_0 ,bin_integrate_factor
True,1.0,0.0,2.0,True,91.0,66.0,116.0,True,1.4,1.2,1.6,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,2.563,0.010252,0.005126,0.023067,0.028,1.0
True,3.0,2.0,4.0,True,91.0,66.0,116.0,True,1.4,1.2,1.6,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,5.341,0.016023,0.005341,0.037387,0.028,1.0
True,5.0,4.0,6.0,True,91.0,66.0,116.0,True,1.4,1.2,1.6,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,5.332,0.015996,0.010664,0.031992,0.028,1.0
True,7.0,6.0,8.0,True,91.0,66.0,116.0,True,1.4,1.2,1.6,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,4.647,0.013941,0.004647,0.023235,0.028,1.0
True,9.0,8.0,10.0,True,91.0,66.0,116.0,True,1.4,1.2,1.6,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,3.923,0.011769,0.007846,0.019615,0.028,1.0
True,11.5,10.0,13.0,True,91.0,66.0,116.0,True,1.4,1.2,1.6,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,3.152,0.009456,0.003152,0.012608,0.028,0.6666666667
True,14.5,13.0,16.0,True,91.0,66.0,116.0,True,1.4,1.2,1.6,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,2.443,0.007329,0.002443,0.012215,0.028,0.6666666667
True,18.0,16.0,20.0,True,91.0,66.0,116.0,True,1.4,1.2,1.6,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,1.847,0.005541,0.001847,0.009235,0.028,0.5
True,22.5,20.0,25.0,True,91.0,66.0,116.0,True,1.4,1.2,1.6,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,1.324,0.003972,0.001324,0.00662,0.028,0.4
True,27.5,25.0,30.0,True,91.0,66.0,116.0,True,1.4,1.2,1.6,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.9558,0.003823,0.000956,0.005735,0.028,0.4
True,33.5,30.0,37.0,True,91.0,66.0,116.0,True,1.4,1.2,1.6,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.6669,0.002668,0.000667,0.004001,0.028,0.2857142857
True,41.0,37.0,45.0,True,91.0,66.0,116.0,True,1.4,1.2,1.6,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.4442,0.001777,0.000888,0.002665,0.028,0.25
True,50.0,45.0,55.0,True,91.0,66.0,116.0,True,1.4,1.2,1.6,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.287,0.001148,0.000574,0.002009,0.028,0.2
True,60.0,55.0,65.0,True,91.0,66.0,116.0,True,1.4,1.2,1.6,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.1869,0.000934,0.000374,0.001495,0.028,0.2
True,70.0,65.0,75.0,True,91.0,66.0,116.0,True,1.4,1.2,1.6,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.1238,0.000867,0.000371,0.00099,0.028,0.2
True,80.0,75.0,85.0,True,91.0,66.0,116.0,True,1.4,1.2,1.6,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.08476,0.000678,0.000254,0.000763,0.028,0.2
True,95.0,85.0,105.0,True,91.0,66.0,116.0,True,1.4,1.2,1.6,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.04781,0.000335,0.000143,0.000382,0.028,0.1
True,127.5,105.0,150.0,True,91.0,66.0,116.0,True,1.4,1.2,1.6,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.01866,0.000131,3.7e-05,0.000131,0.028,0.0444444444
True,175.0,150.0,200.0,True,91.0,66.0,116.0,True,1.4,1.2,1.6,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.005168,6.7e-05,2.1e-05,4.1e-05,0.028,0.04
True,550.0,200.0,900.0,True,91.0,66.0,116.0,True,1.4,1.2,1.6,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.000202,3e-06,1e-06,2e-06,0.028,0.0028571429
