qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_add_0,error_mult_0 ,bin_integrate_factor
True,1.0,0.0,2.0,True,133.0,116.0,150.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.1207,0.002414,0.001207,0.006156,0.028,1.0
True,3.0,2.0,4.0,True,133.0,116.0,150.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.2567,0.00308,0.00154,0.004621,0.028,1.0
True,5.0,4.0,6.0,True,133.0,116.0,150.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.2719,0.003263,0.001631,0.002991,0.028,1.0
True,7.0,6.0,8.0,True,133.0,116.0,150.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.2426,0.002911,0.001456,0.002669,0.028,1.0
True,9.0,8.0,10.0,True,133.0,116.0,150.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.2161,0.003025,0.001513,0.002377,0.028,1.0
True,11.5,10.0,13.0,True,133.0,116.0,150.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.1721,0.002065,0.001033,0.001893,0.028,0.6666666667
True,14.5,13.0,16.0,True,133.0,116.0,150.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.1398,0.001957,0.000839,0.001538,0.028,0.6666666667
True,18.0,16.0,20.0,True,133.0,116.0,150.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.1078,0.001401,0.000647,0.001186,0.028,0.5
True,22.5,20.0,25.0,True,133.0,116.0,150.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.08209,0.001067,0.000493,0.000985,0.028,0.4
True,27.5,25.0,30.0,True,133.0,116.0,150.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.06068,0.00091,0.000425,0.00085,0.028,0.4
True,33.5,30.0,37.0,True,133.0,116.0,150.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.04451,0.000668,0.000312,0.000623,0.028,0.2857142857
True,41.0,37.0,45.0,True,133.0,116.0,150.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.03176,0.000508,0.000254,0.000476,0.028,0.25
True,50.0,45.0,55.0,True,133.0,116.0,150.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.02176,0.00037,0.000174,0.000435,0.028,0.2
True,60.0,55.0,65.0,True,133.0,116.0,150.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.01481,0.000326,0.000133,0.000355,0.028,0.2
True,70.0,65.0,75.0,True,133.0,116.0,150.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.01004,0.000281,0.000131,0.000301,0.028,0.2
True,80.0,75.0,85.0,True,133.0,116.0,150.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.007255,0.000254,0.000123,0.000239,0.028,0.2
True,95.0,85.0,105.0,True,133.0,116.0,150.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.004879,0.000132,4.4e-05,0.000151,0.028,0.1
True,127.5,105.0,150.0,True,133.0,116.0,150.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.002125,5.3e-05,1.7e-05,6e-05,0.028,0.0444444444
True,175.0,150.0,200.0,True,133.0,116.0,150.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.00066,2.6e-05,1.1e-05,1.6e-05,0.028,0.04
True,550.0,200.0,900.0,True,133.0,116.0,150.0,True,0.0,0,2.4,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,2.6e-05,1e-06,0.0,1e-06,0.028,0.0028571429
