qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_add_0,error_mult_0 ,bin_integrate_factor
True,1.0,0.0,2.0,True,91.0,66.0,116.0,True,1.0,0.8,1.2,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,3.122,0.012488,0.006244,0.028098,0.028,1.0
True,3.0,2.0,4.0,True,91.0,66.0,116.0,True,1.0,0.8,1.2,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,6.462,0.012924,0.006462,0.045234,0.028,1.0
True,5.0,4.0,6.0,True,91.0,66.0,116.0,True,1.0,0.8,1.2,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,6.548,0.013096,0.006548,0.039288,0.028,1.0
True,7.0,6.0,8.0,True,91.0,66.0,116.0,True,1.0,0.8,1.2,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,5.647,0.016941,0.005647,0.033882,0.028,1.0
True,9.0,8.0,10.0,True,91.0,66.0,116.0,True,1.0,0.8,1.2,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,4.716,0.014148,0.004716,0.028296,0.028,1.0
True,11.5,10.0,13.0,True,91.0,66.0,116.0,True,1.0,0.8,1.2,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,3.735,0.011205,0.003735,0.02241,0.028,0.6666666667
True,14.5,13.0,16.0,True,91.0,66.0,116.0,True,1.0,0.8,1.2,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,2.901,0.008703,0.002901,0.017406,0.028,0.6666666667
True,18.0,16.0,20.0,True,91.0,66.0,116.0,True,1.0,0.8,1.2,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,2.173,0.006519,0.002173,0.013038,0.028,0.5
True,22.5,20.0,25.0,True,91.0,66.0,116.0,True,1.0,0.8,1.2,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,1.56,0.00468,0.00156,0.00936,0.028,0.4
True,27.5,25.0,30.0,True,91.0,66.0,116.0,True,1.0,0.8,1.2,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,1.116,0.003348,0.001116,0.006696,0.028,0.4
True,33.5,30.0,37.0,True,91.0,66.0,116.0,True,1.0,0.8,1.2,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.7797,0.002339,0.00078,0.004678,0.028,0.2857142857
True,41.0,37.0,45.0,True,91.0,66.0,116.0,True,1.0,0.8,1.2,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.5231,0.002092,0.000523,0.003662,0.028,0.25
True,50.0,45.0,55.0,True,91.0,66.0,116.0,True,1.0,0.8,1.2,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.3386,0.001354,0.000677,0.002709,0.028,0.2
True,60.0,55.0,65.0,True,91.0,66.0,116.0,True,1.0,0.8,1.2,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.2199,0.0011,0.00044,0.001979,0.028,0.2
True,70.0,65.0,75.0,True,91.0,66.0,116.0,True,1.0,0.8,1.2,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.144,0.000864,0.000432,0.001296,0.028,0.2
True,80.0,75.0,85.0,True,91.0,66.0,116.0,True,1.0,0.8,1.2,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.09614,0.000673,0.000288,0.000865,0.028,0.2
True,95.0,85.0,105.0,True,91.0,66.0,116.0,True,1.0,0.8,1.2,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.0557,0.000334,0.000167,0.000446,0.028,0.1
True,127.5,105.0,150.0,True,91.0,66.0,116.0,True,1.0,0.8,1.2,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.02111,0.000127,6.3e-05,0.000169,0.028,0.0444444444
True,175.0,150.0,200.0,True,91.0,66.0,116.0,True,1.0,0.8,1.2,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.005979,7.2e-05,2.4e-05,6e-05,0.028,0.04
True,550.0,200.0,900.0,True,91.0,66.0,116.0,True,1.0,0.8,1.2,8000.0,1,dσ/dqT,True,20.0,20.0,-2.4,2.4,0.000238,4e-06,1e-06,3e-06,0.028,0.0028571429
