replica_id,pdf_replica_id,success,nfev,best_chi2dN,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8
43,44,1,1441,1.9376037,0.022909559,0.99224016,-2.2203449,-5.4850664,1.0809052,-0.51889011,1.5322112,0.070192009,0.02098413
44,45,1,1620,1.7851115,0.026369517,1.06588,-2.2918239,-5.1010552,0.85783262,-0.25181552,1.6554696,0.060822876,0.022197211
45,46,1,1566,1.860756,0.092636033,1.2514055,-3.0318676,-5.159957,1.1572771,-0.28035392,1.6728578,0.07023682,0.019245035
46,47,1,1569,1.8767902,0.013756575,1.0144442,-2.3377937,-4.8809623,0.93586976,-0.37480441,1.4555082,0.072746446,0.041911155
47,48,1,1599,2.2909165,0.042360072,1.1693799,-3.0673261,-5.2786751,0.84525139,-1.0514232,1.815813,0.06570242,0.011503835
48,49,1,1567,1.9198052,0.050484064,1.1999226,-2.5139641,-5.2672315,1.3491334,-0.45821614,1.1835095,0.077805881,0.052567539
49,50,0,1565,2.0467593,0.016332006,0.75925443,-2.179397,-5.2768473,0.99584414,-0.98125127,1.6614321,0.082262928,0.014947316
50,51,1,1547,2.0969041,-0.024809872,0.72423329,-1.8892933,-4.8680322,1.219293,-0.38289432,1.3907776,0.08327191,0.035970787
51,52,0,1544,1.9277979,0.037424482,1.0752849,-2.309869,-5.0901091,1.3600375,-0.36644397,1.714262,0.06583881,0.017927446
52,53,1,1594,1.9167712,-0.013467704,0.96586951,-2.2828402,-4.8981707,0.98943634,-0.3110385,1.6199469,0.065418695,0.026372436
53,54,1,1588,1.8286025,-0.01888688,0.90145271,-1.8897415,-5.034111,1.3288472,-0.45324889,1.3993886,0.072657545,0.030699602
54,55,1,1584,1.9966132,-0.011412848,1.1334329,-2.7755516,-5.6264562,1.1988269,-0.75457456,1.5656597,0.061385513,0.024219623
55,56,0,1603,1.8301338,-0.024500667,0.78484763,-1.9622309,-4.9210341,1.0667557,-0.32449028,1.8433201,0.068874817,0.020052279
56,57,0,1595,2.0513963,0.035475153,1.0807996,-2.7389921,-5.3418349,1.2757042,-1.2217968,1.3364146,0.089074128,0.030706623
57,58,1,1514,1.8105699,-0.0092022923,0.99794427,-2.376838,-5.3269707,0.9864906,-0.38679912,1.5515602,0.06236424,0.028709056
58,59,1,1593,1.8790646,-0.038754107,0.81719274,-1.7204315,-5.5978325,1.2818464,-0.52445249,1.3304262,0.06909045,0.031113909
59,60,1,1538,1.9787295,-0.0095236932,0.8520204,-2.0601583,-5.3785025,1.1405763,-0.49488203,1.4631893,0.075363391,0.030867418
60,61,1,1524,1.9146368,0.033305067,1.1392675,-2.7446002,-5.0223671,1.1072892,-0.44199037,1.5794399,0.066793288,0.024357665
61,62,1,1570,1.804469,-0.027210392,1.0609428,-2.8621361,-5.5062942,1.1713181,-0.9144562,1.4883931,0.070047631,0.023015324
62,63,1,1475,1.9698433,0.026871542,0.84274395,-2.216867,-5.3450522,1.1622224,-0.89754258,1.5587236,0.084406311,0.025505595
63,64,0,1519,1.9898649,-0.011898446,0.86217281,-1.7067604,-5.6098256,1.3051109,-0.33907883,1.5333824,0.063775712,0.024911416
64,65,0,1600,1.7768276,0.06392184,1.1553258,-2.5639771,-4.6367727,0.95792436,-0.34163926,1.7140181,0.068387686,0.022782969
65,66,1,1587,2.1719028,-0.037925397,0.83298972,-1.8662366,-5.5427082,1.2673351,-0.57403466,1.4482306,0.068266031,0.025671913
